#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.582124E-03   0.188943E+08   0.188932E+08   0.507646E+07   0.483902E+07   0.187884E+08   0.188937E+08   0.188941E+08   0.188949E+08  -0.477144E+00   0.102645E+08   0.102642E+08   0.183420E+03
   0.620106E-03   0.188897E+08   0.188885E+08   0.411467E+07   0.389469E+07   0.187697E+08   0.188890E+08   0.188895E+08   0.188900E+08  -0.476929E+00   0.102602E+08   0.102598E+08   0.186177E+03
   0.658087E-03   0.188842E+08   0.188829E+08   0.332171E+07   0.312361E+07   0.187493E+08   0.188834E+08   0.188840E+08   0.188842E+08  -0.476706E+00   0.102556E+08   0.102553E+08   0.187940E+03
   0.708728E-03   0.188757E+08   0.188742E+08   0.250800E+07   0.234376E+07   0.187198E+08   0.188748E+08   0.188754E+08   0.188754E+08  -0.476399E+00   0.102493E+08   0.102489E+08   0.188903E+03
   0.759367E-03   0.188660E+08   0.188645E+08   0.193641E+07   0.180848E+07   0.186878E+08   0.188651E+08   0.188658E+08   0.188655E+08  -0.476080E+00   0.102427E+08   0.102423E+08   0.188489E+03
   0.810005E-03   0.188555E+08   0.188538E+08   0.155863E+07   0.146643E+07   0.186536E+08   0.188544E+08   0.188552E+08   0.188548E+08  -0.475752E+00   0.102358E+08   0.102354E+08   0.186921E+03
   0.860642E-03   0.188441E+08   0.188423E+08   0.132320E+07   0.126360E+07   0.186174E+08   0.188429E+08   0.188438E+08   0.188432E+08  -0.475413E+00   0.102287E+08   0.102282E+08   0.184413E+03
   0.923938E-03   0.188289E+08   0.188270E+08   0.115538E+07   0.112925E+07   0.185694E+08   0.188275E+08   0.188286E+08   0.188278E+08  -0.474976E+00   0.102194E+08   0.102189E+08   0.180248E+03
   0.987233E-03   0.188127E+08   0.188107E+08   0.105531E+07   0.105275E+07   0.185187E+08   0.188112E+08   0.188124E+08   0.188115E+08  -0.474525E+00   0.102097E+08   0.102092E+08   0.175245E+03
   0.105053E-02   0.187957E+08   0.187936E+08   0.968782E+06   0.979761E+06   0.184654E+08   0.187940E+08   0.187954E+08   0.187942E+08  -0.474059E+00   0.101998E+08   0.101992E+08   0.169672E+03
   0.112648E-02   0.187743E+08   0.187720E+08   0.845066E+06   0.860998E+06   0.183985E+08   0.187724E+08   0.187740E+08   0.187726E+08  -0.473483E+00   0.101874E+08   0.101868E+08   0.162527E+03
   0.120243E-02   0.187519E+08   0.187496E+08   0.694428E+06   0.706838E+06   0.183284E+08   0.187498E+08   0.187516E+08   0.187500E+08  -0.472888E+00   0.101746E+08   0.101741E+08   0.155137E+03
   0.129104E-02   0.187247E+08   0.187223E+08   0.512299E+06   0.515742E+06   0.182433E+08   0.187224E+08   0.187244E+08   0.187225E+08  -0.472171E+00   0.101592E+08   0.101587E+08   0.146459E+03
   0.137965E-02   0.186965E+08   0.186940E+08   0.363923E+06   0.358394E+06   0.181550E+08   0.186938E+08   0.186961E+08   0.186939E+08  -0.471431E+00   0.101434E+08   0.101428E+08   0.137926E+03
   0.146826E-02   0.186673E+08   0.186647E+08   0.274042E+06   0.262478E+06   0.180639E+08   0.186643E+08   0.186669E+08   0.186644E+08  -0.470671E+00   0.101271E+08   0.101265E+08   0.129696E+03
   0.156952E-02   0.186328E+08   0.186302E+08   0.236551E+06   0.222317E+06   0.179569E+08   0.186296E+08   0.186324E+08   0.186296E+08  -0.469779E+00   0.101079E+08   0.101074E+08   0.120812E+03
   0.168345E-02   0.185929E+08   0.185903E+08   0.231100E+06   0.217719E+06   0.178332E+08   0.185893E+08   0.185925E+08   0.185893E+08  -0.468748E+00   0.100858E+08   0.100852E+08   0.111632E+03
   0.179737E-02   0.185517E+08   0.185491E+08   0.212133E+06   0.201693E+06   0.177069E+08   0.185478E+08   0.185513E+08   0.185478E+08  -0.467691E+00   0.100631E+08   0.100625E+08   0.103407E+03
   0.192395E-02   0.185048E+08   0.185022E+08   0.156645E+06   0.150530E+06   0.175641E+08   0.185005E+08   0.185044E+08   0.185005E+08  -0.466488E+00   0.100373E+08   0.100367E+08   0.954041E+02
   0.205054E-02   0.184568E+08   0.184541E+08   0.952074E+05   0.934510E+05   0.174195E+08   0.184520E+08   0.184564E+08   0.184520E+08  -0.465257E+00   0.100108E+08   0.100103E+08   0.885222E+02
   0.218977E-02   0.184027E+08   0.184001E+08   0.626578E+05   0.638008E+05   0.172593E+08   0.183975E+08   0.184023E+08   0.183975E+08  -0.463875E+00   0.998116E+07   0.998062E+07   0.820972E+02
   0.234167E-02   0.183425E+08   0.183398E+08   0.666595E+05   0.669699E+05   0.170839E+08   0.183368E+08   0.183421E+08   0.183368E+08  -0.462338E+00   0.994814E+07   0.994761E+07   0.762471E+02
   0.250623E-02   0.182760E+08   0.182733E+08   0.670859E+05  -0.587306E+05   0.168941E+08   0.182698E+08   0.182756E+08   0.182698E+08  -0.460642E+00   0.991173E+07   0.991119E+07   0.710131E+02
   0.268344E-02   0.182031E+08   0.182003E+08   0.412535E+05  -0.510263E+05   0.166908E+08   0.181963E+08   0.182027E+08   0.181963E+08  -0.458785E+00   0.987184E+07   0.987130E+07   0.663454E+02
   0.286065E-02   0.181291E+08   0.181262E+08   0.244342E+05  -0.447188E+05   0.164893E+08   0.181218E+08   0.181287E+08   0.181218E+08  -0.456901E+00   0.983137E+07   0.983083E+07   0.623784E+02
   0.306318E-02   0.180434E+08   0.180403E+08   0.299569E+05  -0.388180E+05   0.162621E+08   0.180354E+08   0.180429E+08   0.180354E+08  -0.454719E+00   0.978451E+07   0.978398E+07   0.584122E+02
   0.327836E-02   0.179512E+08   0.179480E+08   0.226537E+05  -0.337178E+05   0.160245E+08   0.179426E+08   0.179507E+08   0.179426E+08  -0.452375E+00   0.973416E+07   0.973362E+07   0.546473E+02
   0.349355E-02   0.178581E+08   0.178547E+08   0.726010E+04  -0.295395E+05   0.157908E+08   0.178489E+08   0.178576E+08   0.178489E+08  -0.450010E+00   0.968334E+07   0.968281E+07   0.512216E+02
   0.373405E-02   0.177532E+08   0.177497E+08   0.965471E+04  -0.257067E+05   0.155341E+08   0.177433E+08   0.177527E+08   0.177433E+08  -0.447346E+00   0.962613E+07   0.962559E+07   0.477402E+02
   0.399987E-02   0.176365E+08   0.176328E+08   0.402656E+04  -0.222579E+05   0.152556E+08   0.176259E+08   0.176360E+08   0.176259E+08  -0.444384E+00   0.956250E+07   0.956197E+07   0.443269E+02
   0.426568E-02   0.175193E+08   0.175154E+08  -0.252864E+03  -0.194419E+05   0.149818E+08   0.175080E+08   0.175188E+08   0.175080E+08  -0.441410E+00   0.949862E+07   0.949809E+07   0.413688E+02
   0.456947E-02   0.173850E+08   0.173809E+08   0.398424E+04  -0.168145E+05   0.146743E+08   0.173729E+08   0.173844E+08   0.173729E+08  -0.438003E+00   0.942541E+07   0.942488E+07   0.384913E+02
   0.488592E-02   0.172453E+08   0.172409E+08  -0.484980E+03  -0.145904E+05   0.143547E+08   0.172324E+08   0.172446E+08   0.172324E+08  -0.434459E+00   0.934929E+07   0.934877E+07   0.359499E+02
   0.521503E-02   0.170997E+08   0.170949E+08   0.445916E+04  -0.127004E+05   0.140289E+08   0.170860E+08   0.170990E+08   0.170860E+08  -0.430765E+00   0.926995E+07   0.926943E+07   0.336510E+02
   0.556945E-02   0.169431E+08   0.169380E+08  -0.841030E+03  -0.110349E+05   0.136855E+08   0.169286E+08   0.169424E+08   0.169286E+08  -0.426796E+00   0.918469E+07   0.918416E+07   0.314554E+02
   0.596184E-02   0.167704E+08   0.167649E+08   0.169329E+04  -0.953327E+04   0.133156E+08   0.167550E+08   0.167696E+08   0.167550E+08  -0.422418E+00   0.909064E+07   0.909011E+07   0.292992E+02
   0.636689E-02   0.165928E+08   0.165869E+08  -0.624699E+03  -0.827158E+04   0.129444E+08   0.165765E+08   0.165919E+08   0.165765E+08  -0.417918E+00   0.899396E+07   0.899343E+07   0.273593E+02
   0.680992E-02   0.164000E+08   0.163936E+08  -0.171416E+04  -0.714749E+04   0.125532E+08   0.163828E+08   0.163991E+08   0.163828E+08  -0.413033E+00   0.888900E+07   0.888848E+07   0.255381E+02
   0.727826E-02   0.161978E+08   0.161908E+08   0.741700E+02  -0.618114E+04   0.121536E+08   0.161797E+08   0.161967E+08   0.161797E+08  -0.407911E+00   0.877895E+07   0.877843E+07   0.238814E+02
   0.777192E-02   0.159866E+08   0.159790E+08  -0.122469E+04  -0.535117E+04   0.117463E+08   0.159676E+08   0.159855E+08   0.159676E+08  -0.402564E+00   0.866407E+07   0.866354E+07   0.223550E+02
   0.831621E-02   0.157562E+08   0.157479E+08  -0.132780E+04  -0.460719E+04   0.113126E+08   0.157362E+08   0.157550E+08   0.157362E+08  -0.396731E+00   0.853872E+07   0.853820E+07   0.208854E+02
   0.888581E-02   0.155179E+08   0.155088E+08  -0.200745E+04  -0.397524E+04   0.108768E+08   0.154970E+08   0.155166E+08   0.154970E+08  -0.390698E+00   0.840908E+07   0.840856E+07   0.195563E+02
   0.949339E-02   0.152670E+08   0.152570E+08  -0.137951E+04  -0.342711E+04   0.104340E+08   0.152451E+08   0.152655E+08   0.152451E+08  -0.384348E+00   0.827262E+07   0.827210E+07   0.183347E+02
   0.101516E-01   0.149990E+08   0.149880E+08  -0.111060E+04  -0.294517E+04   0.997943E+07   0.149762E+08   0.149974E+08   0.149762E+08  -0.377569E+00   0.812692E+07   0.812639E+07   0.171859E+02
   0.108478E-01   0.147200E+08   0.147079E+08  -0.115325E+04  -0.253188E+04   0.952430E+07   0.146963E+08   0.147182E+08   0.146963E+08  -0.370510E+00   0.797521E+07   0.797469E+07   0.161358E+02
   0.115946E-01   0.144256E+08   0.144122E+08  -0.148139E+04  -0.217244E+04   0.906156E+07   0.144010E+08   0.144236E+08   0.144010E+08  -0.363066E+00   0.781519E+07   0.781466E+07   0.151634E+02
   0.123920E-01   0.141168E+08   0.141021E+08  -0.113210E+04  -0.186161E+04   0.859464E+07   0.140913E+08   0.141146E+08   0.140913E+08  -0.355259E+00   0.764738E+07   0.764685E+07   0.142663E+02
   0.132528E-01   0.137899E+08   0.137736E+08  -0.567804E+03  -0.159038E+04   0.812137E+07   0.137635E+08   0.137875E+08   0.137635E+08  -0.346995E+00   0.746972E+07   0.746919E+07   0.134312E+02
   0.141641E-01   0.134507E+08   0.134328E+08  -0.635790E+03  -0.135842E+04   0.765298E+07   0.134236E+08   0.134481E+08   0.134236E+08  -0.338424E+00   0.728545E+07   0.728492E+07   0.126669E+02
   0.151388E-01   0.130958E+08   0.130761E+08  -0.676528E+03  -0.115809E+04   0.718637E+07   0.130680E+08   0.130929E+08   0.130680E+08  -0.329459E+00   0.709268E+07   0.709214E+07   0.119595E+02
   0.161767E-01   0.127266E+08   0.127050E+08  -0.489758E+03  -0.985928E+03   0.672563E+07   0.126981E+08   0.127234E+08   0.126981E+08  -0.320134E+00   0.689216E+07   0.689161E+07   0.113057E+02
   0.172906E-01   0.123403E+08   0.123166E+08  -0.545441E+03  -0.837032E+03   0.626828E+07   0.123111E+08   0.123368E+08   0.123111E+08  -0.310378E+00   0.668236E+07   0.668180E+07   0.106944E+02
   0.184805E-01   0.119387E+08   0.119128E+08  -0.538789E+03  -0.709081E+03   0.581802E+07   0.119090E+08   0.119349E+08   0.119090E+08  -0.300240E+00   0.646432E+07   0.646376E+07   0.101229E+02
   0.197589E-01   0.115199E+08   0.114917E+08  -0.418068E+03  -0.598708E+03   0.537533E+07   0.114898E+08   0.115157E+08   0.114898E+08  -0.289671E+00   0.623698E+07   0.623641E+07   0.958069E+01
   0.211260E-01   0.110866E+08   0.110560E+08  -0.369569E+03  -0.504180E+03   0.494406E+07   0.110561E+08   0.110821E+08   0.110561E+08  -0.278738E+00   0.600179E+07   0.600122E+07   0.906543E+01
   0.225690E-01   0.106455E+08   0.106125E+08  -0.274281E+03  -0.424316E+03   0.453103E+07   0.106148E+08   0.106406E+08   0.106148E+08  -0.267611E+00   0.576243E+07   0.576185E+07   0.857600E+01
   0.241259E-01   0.101885E+08   0.101530E+08  -0.194681E+03  -0.355481E+03   0.412915E+07   0.101577E+08   0.101833E+08   0.101577E+08  -0.256086E+00   0.551447E+07   0.551388E+07   0.809449E+01
   0.257841E-01   0.972356E+07   0.968578E+07  -0.238856E+03  -0.297111E+03   0.374590E+07   0.969274E+07   0.971797E+07   0.969274E+07  -0.244365E+00   0.526224E+07   0.526165E+07   0.762095E+01
   0.275688E-01   0.924850E+07   0.920858E+07  -0.108544E+03  -0.247261E+03   0.337872E+07   0.921782E+07   0.924260E+07   0.921782E+07  -0.232391E+00   0.500459E+07   0.500400E+07   0.714476E+01
   0.294675E-01   0.877232E+07   0.873055E+07  -0.115664E+03  -0.205339E+03   0.303400E+07   0.874192E+07   0.876614E+07   0.874192E+07  -0.220393E+00   0.474639E+07   0.474580E+07   0.666576E+01
   0.314928E-01   0.829777E+07   0.825456E+07  -0.111504E+03  -0.170100E+03   0.271182E+07   0.826780E+07   0.829137E+07   0.826780E+07  -0.208440E+00   0.448913E+07   0.448854E+07   0.617797E+01
   0.336573E-01   0.782865E+07   0.778453E+07  -0.855934E+02  -0.140544E+03   0.241278E+07   0.779927E+07   0.782212E+07   0.779927E+07  -0.196628E+00   0.423488E+07   0.423431E+07   0.567727E+01
   0.359737E-01   0.736968E+07   0.732530E+07  -0.555912E+02  -0.115847E+03   0.213751E+07   0.734104E+07   0.736311E+07   0.734104E+07  -0.185075E+00   0.398620E+07   0.398565E+07   0.516173E+01
   0.384546E-01   0.692620E+07   0.688234E+07  -0.500861E+02  -0.953070E+02   0.188651E+07   0.689845E+07   0.691971E+07   0.689845E+07  -0.173917E+00   0.374600E+07   0.374547E+07   0.463210E+01
