#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.128768E+00   0.201834E+07   0.201031E+07   0.480489E+01  -0.248789E+01   0.125594E+06   0.200916E+07   0.201715E+07   0.200916E+07  -0.506530E-01   0.109148E+07   0.109138E+07   0.259132E+00
   0.132427E+00   0.195971E+07   0.195234E+07   0.441114E+01  -0.228420E+01   0.117034E+06   0.195084E+07   0.195862E+07   0.195084E+07  -0.491827E-01   0.105980E+07   0.105971E+07   0.236731E+00
   0.136072E+00   0.189946E+07   0.189244E+07   0.404942E+01  -0.209706E+01   0.108974E+06   0.189087E+07   0.189842E+07   0.189087E+07  -0.476707E-01   0.102722E+07   0.102713E+07   0.222513E+00
   0.139718E+00   0.183710E+07   0.183016E+07   0.371458E+01  -0.192383E+01   0.101332E+06   0.182875E+07   0.183608E+07   0.182875E+07  -0.461047E-01   0.993484E+06   0.993394E+06   0.214845E+00
   0.143376E+00   0.177300E+07   0.176592E+07   0.340411E+01  -0.176320E+01   0.940849E+05   0.176486E+07   0.177195E+07   0.176486E+07  -0.444940E-01   0.958782E+06   0.958691E+06   0.211817E+00
   0.147021E+00   0.170873E+07   0.170138E+07   0.311978E+01  -0.161608E+01   0.873101E+05   0.170080E+07   0.170765E+07   0.170080E+07  -0.428790E-01   0.923985E+06   0.923892E+06   0.211437E+00
   0.150679E+00   0.164518E+07   0.163749E+07   0.285940E+01  -0.148134E+01   0.809915E+05   0.163744E+07   0.164405E+07   0.163744E+07  -0.412817E-01   0.889570E+06   0.889475E+06   0.211802E+00
   0.154325E+00   0.158413E+07   0.157612E+07   0.262449E+01  -0.135977E+01   0.751986E+05   0.157657E+07   0.158294E+07   0.157657E+07  -0.397471E-01   0.856506E+06   0.856408E+06   0.211340E+00
   0.157970E+00   0.152664E+07   0.151839E+07   0.241364E+01  -0.125063E+01   0.699268E+05   0.151927E+07   0.152542E+07   0.151927E+07  -0.383024E-01   0.825377E+06   0.825278E+06   0.208930E+00
   0.161628E+00   0.147357E+07   0.146522E+07   0.222532E+01  -0.115314E+01   0.651628E+05   0.146639E+07   0.147233E+07   0.146639E+07  -0.369692E-01   0.796653E+06   0.796554E+06   0.203924E+00
   0.165274E+00   0.142587E+07   0.141758E+07   0.205925E+01  -0.106715E+01   0.609206E+05   0.141889E+07   0.142465E+07   0.141889E+07  -0.357716E-01   0.770848E+06   0.770751E+06   0.196213E+00
   0.168932E+00   0.138334E+07   0.137525E+07   0.191219E+01  -0.990992E+00   0.571327E+05   0.137655E+07   0.138215E+07   0.137655E+07  -0.347042E-01   0.747850E+06   0.747756E+06   0.186022E+00
   0.172577E+00   0.134600E+07   0.133826E+07   0.178280E+01  -0.923975E+00   0.537756E+05   0.133940E+07   0.134486E+07   0.133940E+07  -0.337678E-01   0.727672E+06   0.727582E+06   0.174019E+00
   0.176223E+00   0.131310E+07   0.130580E+07   0.166803E+01  -0.864523E+00   0.507773E+05   0.130669E+07   0.131202E+07   0.130669E+07  -0.329431E-01   0.709902E+06   0.709817E+06   0.160959E+00
   0.179881E+00   0.128361E+07   0.127683E+07   0.156499E+01  -0.811135E+00   0.480653E+05   0.127739E+07   0.128261E+07   0.127739E+07  -0.322045E-01   0.693987E+06   0.693907E+06   0.147650E+00
   0.183526E+00   0.125665E+07   0.125039E+07   0.147191E+01  -0.762912E+00   0.455949E+05   0.125062E+07   0.125573E+07   0.125062E+07  -0.315294E-01   0.679439E+06   0.679365E+06   0.134989E+00
   0.187185E+00   0.123096E+07   0.122519E+07   0.138606E+01  -0.718431E+00   0.432932E+05   0.122509E+07   0.123010E+07   0.122509E+07  -0.308858E-01   0.665573E+06   0.665504E+06   0.123559E+00
   0.190830E+00   0.120581E+07   0.120047E+07   0.130641E+01  -0.677159E+00   0.411328E+05   0.120010E+07   0.120502E+07   0.120010E+07  -0.302558E-01   0.651998E+06   0.651932E+06   0.113908E+00
   0.194475E+00   0.118044E+07   0.117543E+07   0.123145E+01  -0.638321E+00   0.390740E+05   0.117488E+07   0.117970E+07   0.117488E+07  -0.296199E-01   0.638296E+06   0.638234E+06   0.106234E+00
   0.198134E+00   0.115428E+07   0.114951E+07   0.116011E+01  -0.601364E+00   0.370888E+05   0.114886E+07   0.115358E+07   0.114886E+07  -0.289640E-01   0.624162E+06   0.624102E+06   0.100532E+00
   0.201779E+00   0.112729E+07   0.112264E+07   0.109241E+01  -0.566287E+00   0.351791E+05   0.112200E+07   0.112661E+07   0.112200E+07  -0.282867E-01   0.609568E+06   0.609510E+06   0.966514E-01
   0.205437E+00   0.109932E+07   0.109471E+07   0.102767E+01  -0.532751E+00   0.333295E+05   0.109414E+07   0.109864E+07   0.109414E+07  -0.275845E-01   0.594436E+06   0.594378E+06   0.942267E-01
   0.209083E+00   0.107087E+07   0.106621E+07   0.966426E+00  -0.501022E+00   0.315585E+05   0.106579E+07   0.107018E+07   0.106579E+07  -0.268697E-01   0.579035E+06   0.578977E+06   0.928457E-01
   0.212728E+00   0.104229E+07   0.103755E+07   0.908629E+00  -0.471080E+00   0.298689E+05   0.103732E+07   0.104159E+07   0.103732E+07  -0.261518E-01   0.563566E+06   0.563508E+06   0.920398E-01
   0.216386E+00   0.101403E+07   0.100920E+07   0.854311E+00  -0.442939E+00   0.282658E+05   0.100915E+07   0.101331E+07   0.100915E+07  -0.254418E-01   0.548267E+06   0.548208E+06   0.913727E-01
   0.220032E+00   0.986804E+06   0.981885E+06   0.804012E+00  -0.416878E+00   0.267688E+05   0.982024E+06   0.986076E+06   0.982024E+06  -0.247579E-01   0.533529E+06   0.533469E+06   0.904831E-01
   0.223690E+00   0.960868E+06   0.955895E+06   0.757449E+00  -0.392751E+00   0.253730E+05   0.956184E+06   0.960133E+06   0.956184E+06  -0.241064E-01   0.519491E+06   0.519432E+06   0.890977E-01
   0.227335E+00   0.936723E+06   0.931744E+06   0.714898E+00  -0.370700E+00   0.240897E+05   0.932134E+06   0.935986E+06   0.932134E+06  -0.235001E-01   0.506426E+06   0.506367E+06   0.870755E-01
   0.230981E+00   0.914470E+06   0.909539E+06   0.676043E+00  -0.350563E+00   0.229118E+05   0.909977E+06   0.913740E+06   0.909977E+06  -0.229415E-01   0.494389E+06   0.494331E+06   0.843783E-01
   0.234639E+00   0.894105E+06   0.889278E+06   0.640532E+00  -0.332156E+00   0.218304E+05   0.889709E+06   0.893391E+06   0.889709E+06  -0.224305E-01   0.483378E+06   0.483321E+06   0.810610E-01
   0.238284E+00   0.875661E+06   0.870985E+06   0.608272E+00  -0.315433E+00   0.208441E+05   0.871361E+06   0.874969E+06   0.871361E+06  -0.219679E-01   0.473410E+06   0.473355E+06   0.772920E-01
   0.241942E+00   0.858742E+06   0.854254E+06   0.578625E+00  -0.300063E+00   0.199337E+05   0.854538E+06   0.858078E+06   0.854538E+06  -0.215438E-01   0.464271E+06   0.464218E+06   0.732394E-01
   0.245588E+00   0.843130E+06   0.838849E+06   0.551376E+00  -0.285935E+00   0.190931E+05   0.839018E+06   0.842496E+06   0.839018E+06  -0.211525E-01   0.455840E+06   0.455789E+06   0.691448E-01
   0.249233E+00   0.828417E+06   0.824347E+06   0.526034E+00  -0.272796E+00   0.183073E+05   0.824395E+06   0.827815E+06   0.824395E+06  -0.207839E-01   0.447895E+06   0.447846E+06   0.651991E-01
   0.252892E+00   0.814200E+06   0.810330E+06   0.502168E+00  -0.260422E+00   0.175627E+05   0.810265E+06   0.813628E+06   0.810265E+06  -0.204276E-01   0.440218E+06   0.440172E+06   0.615630E-01
   0.256537E+00   0.800239E+06   0.796544E+06   0.479638E+00  -0.248741E+00   0.168550E+05   0.796386E+06   0.799692E+06   0.796386E+06  -0.200777E-01   0.432678E+06   0.432633E+06   0.583853E-01
   0.260195E+00   0.786179E+06   0.782628E+06   0.458060E+00  -0.237553E+00   0.161721E+05   0.782403E+06   0.785654E+06   0.782403E+06  -0.197252E-01   0.425082E+06   0.425038E+06   0.557118E-01
   0.263841E+00   0.771969E+06   0.768524E+06   0.437438E+00  -0.226862E+00   0.155144E+05   0.768266E+06   0.771460E+06   0.768266E+06  -0.193688E-01   0.417402E+06   0.417359E+06   0.535714E-01
   0.267486E+00   0.757499E+06   0.754123E+06   0.417616E+00  -0.216586E+00   0.148772E+05   0.753865E+06   0.757000E+06   0.753865E+06  -0.190057E-01   0.409578E+06   0.409536E+06   0.519130E-01
   0.271144E+00   0.742735E+06   0.739396E+06   0.398496E+00  -0.206674E+00   0.142579E+05   0.739166E+06   0.742241E+06   0.739166E+06  -0.186351E-01   0.401592E+06   0.401551E+06   0.506519E-01
   0.274790E+00   0.727883E+06   0.724556E+06   0.380227E+00  -0.197203E+00   0.136619E+05   0.724376E+06   0.727391E+06   0.724376E+06  -0.182623E-01   0.393557E+06   0.393516E+06   0.496899E-01
   0.278448E+00   0.713005E+06   0.709674E+06   0.362724E+00  -0.188130E+00   0.130872E+05   0.709558E+06   0.712512E+06   0.709558E+06  -0.178887E-01   0.385507E+06   0.385466E+06   0.489025E-01
   0.282093E+00   0.698384E+06   0.695041E+06   0.346153E+00  -0.179539E+00   0.125398E+05   0.694994E+06   0.697889E+06   0.694994E+06  -0.175215E-01   0.377595E+06   0.377554E+06   0.481815E-01
   0.285739E+00   0.684144E+06   0.680794E+06   0.330489E+00  -0.171419E+00   0.120197E+05   0.680812E+06   0.683649E+06   0.680812E+06  -0.171640E-01   0.369890E+06   0.369849E+06   0.474258E-01
   0.289397E+00   0.670404E+06   0.667055E+06   0.315708E+00  -0.163756E+00   0.115266E+05   0.667127E+06   0.669908E+06   0.667127E+06  -0.168190E-01   0.362455E+06   0.362415E+06   0.465590E-01
   0.293042E+00   0.657381E+06   0.654050E+06   0.301916E+00  -0.156605E+00   0.110646E+05   0.654160E+06   0.656888E+06   0.654160E+06  -0.164921E-01   0.355411E+06   0.355371E+06   0.455428E-01
   0.296700E+00   0.645061E+06   0.641765E+06   0.288993E+00  -0.149904E+00   0.106303E+05   0.641895E+06   0.644573E+06   0.641895E+06  -0.161829E-01   0.348747E+06   0.348708E+06   0.443557E-01
   0.300346E+00   0.633545E+06   0.630304E+06   0.276984E+00  -0.143677E+00   0.102253E+05   0.630434E+06   0.633065E+06   0.630434E+06  -0.158939E-01   0.342521E+06   0.342482E+06   0.430184E-01
   0.303991E+00   0.622753E+06   0.619584E+06   0.265775E+00  -0.137864E+00   0.984612E+04   0.619697E+06   0.622284E+06   0.619697E+06  -0.156232E-01   0.336687E+06   0.336650E+06   0.415615E-01
   0.307649E+00   0.612566E+06   0.609480E+06   0.255249E+00  -0.132405E+00   0.948891E+04   0.609564E+06   0.612110E+06   0.609564E+06  -0.153678E-01   0.331182E+06   0.331145E+06   0.400280E-01
   0.311295E+00   0.602940E+06   0.599945E+06   0.245390E+00  -0.127291E+00   0.915320E+04   0.599990E+06   0.602497E+06   0.599990E+06  -0.151264E-01   0.325981E+06   0.325945E+06   0.384843E-01
   0.314953E+00   0.593684E+06   0.590783E+06   0.236045E+00  -0.122445E+00   0.883384E+04   0.590786E+06   0.593255E+06   0.590786E+06  -0.148943E-01   0.320981E+06   0.320946E+06   0.369750E-01
   0.318599E+00   0.584742E+06   0.581930E+06   0.227202E+00  -0.117858E+00   0.853043E+04   0.581894E+06   0.584326E+06   0.581894E+06  -0.146702E-01   0.316149E+06   0.316115E+06   0.355585E-01
   0.322244E+00   0.575969E+06   0.573238E+06   0.218761E+00  -0.113480E+00   0.823953E+04   0.573168E+06   0.575565E+06   0.573168E+06  -0.144502E-01   0.311409E+06   0.311376E+06   0.342657E-01
   0.325902E+00   0.567238E+06   0.564578E+06   0.210636E+00  -0.109266E+00   0.795825E+04   0.564484E+06   0.566844E+06   0.564484E+06  -0.142312E-01   0.306690E+06   0.306658E+06   0.331142E-01
   0.329548E+00   0.558539E+06   0.555937E+06   0.202843E+00  -0.105225E+00   0.768714E+04   0.555829E+06   0.558154E+06   0.555829E+06  -0.140130E-01   0.301988E+06   0.301957E+06   0.321180E-01
   0.333206E+00   0.549782E+06   0.547225E+06   0.195302E+00  -0.101314E+00   0.742352E+04   0.547114E+06   0.549404E+06   0.547114E+06  -0.137933E-01   0.297254E+06   0.297223E+06   0.312623E-01
   0.336851E+00   0.541038E+06   0.538514E+06   0.188057E+00  -0.975565E-01   0.716906E+04   0.538411E+06   0.540664E+06   0.538411E+06  -0.135739E-01   0.292525E+06   0.292494E+06   0.305341E-01
   0.340497E+00   0.532311E+06   0.529810E+06   0.181081E+00  -0.939390E-01   0.692294E+04   0.529723E+06   0.531941E+06   0.529723E+06  -0.133549E-01   0.287806E+06   0.287775E+06   0.299030E-01
   0.344155E+00   0.523616E+06   0.521132E+06   0.174355E+00  -0.904505E-01   0.668458E+04   0.521066E+06   0.523248E+06   0.521066E+06  -0.131366E-01   0.283102E+06   0.283072E+06   0.293358E-01
   0.347800E+00   0.515064E+06   0.512594E+06   0.167928E+00  -0.871178E-01   0.645597E+04   0.512551E+06   0.514698E+06   0.512551E+06  -0.129220E-01   0.278476E+06   0.278446E+06   0.288049E-01
   0.351458E+00   0.506659E+06   0.504203E+06   0.161765E+00  -0.839216E-01   0.623591E+04   0.504183E+06   0.506296E+06   0.504183E+06  -0.127110E-01   0.273930E+06   0.273900E+06   0.282784E-01
   0.355104E+00   0.498519E+06   0.496078E+06   0.155913E+00  -0.808865E-01   0.602627E+04   0.496079E+06   0.498158E+06   0.496079E+06  -0.125067E-01   0.269527E+06   0.269497E+06   0.277378E-01
   0.358749E+00   0.490658E+06   0.488238E+06   0.150350E+00  -0.780014E-01   0.582639E+04   0.488254E+06   0.490300E+06   0.488254E+06  -0.123094E-01   0.265275E+06   0.265246E+06   0.271668E-01
   0.362407E+00   0.483081E+06   0.480687E+06   0.145054E+00  -0.752545E-01   0.563556E+04   0.480711E+06   0.482727E+06   0.480711E+06  -0.121192E-01   0.261178E+06   0.261149E+06   0.265565E-01
   0.366053E+00   0.475849E+06   0.473488E+06   0.140050E+00  -0.726591E-01   0.545480E+04   0.473514E+06   0.475500E+06   0.473514E+06  -0.119378E-01   0.257268E+06   0.257239E+06   0.259121E-01
   0.369711E+00   0.468901E+06   0.466578E+06   0.135288E+00  -0.701887E-01   0.528231E+04   0.466601E+06   0.468558E+06   0.466601E+06  -0.117635E-01   0.253511E+06   0.253483E+06   0.252364E-01
   0.373356E+00   0.462259E+06   0.459978E+06   0.130780E+00  -0.678503E-01   0.511862E+04   0.459992E+06   0.461922E+06   0.459992E+06  -0.115969E-01   0.249921E+06   0.249893E+06   0.245459E-01
   0.377002E+00   0.455864E+06   0.453629E+06   0.126489E+00  -0.656244E-01   0.496241E+04   0.453630E+06   0.455534E+06   0.453630E+06  -0.114365E-01   0.246465E+06   0.246438E+06   0.238529E-01
   0.380660E+00   0.449657E+06   0.447467E+06   0.122380E+00  -0.634932E-01   0.481245E+04   0.447455E+06   0.449333E+06   0.447455E+06  -0.112808E-01   0.243110E+06   0.243083E+06   0.231700E-01
   0.384306E+00   0.443634E+06   0.441490E+06   0.118462E+00  -0.614605E-01   0.466902E+04   0.441464E+06   0.443317E+06   0.441464E+06  -0.111298E-01   0.239855E+06   0.239829E+06   0.225158E-01
   0.387964E+00   0.437712E+06   0.435610E+06   0.114687E+00  -0.595023E-01   0.453042E+04   0.435572E+06   0.437401E+06   0.435572E+06  -0.109812E-01   0.236653E+06   0.236628E+06   0.218964E-01
   0.391609E+00   0.431894E+06   0.429832E+06   0.111066E+00  -0.576239E-01   0.439706E+04   0.429785E+06   0.431589E+06   0.429785E+06  -0.108353E-01   0.233509E+06   0.233484E+06   0.213235E-01
   0.395255E+00   0.426136E+06   0.424109E+06   0.107573E+00  -0.558121E-01   0.426802E+04   0.424056E+06   0.425836E+06   0.424056E+06  -0.106909E-01   0.230397E+06   0.230372E+06   0.207980E-01
   0.398913E+00   0.420404E+06   0.418406E+06   0.104188E+00  -0.540563E-01   0.414257E+04   0.418351E+06   0.420108E+06   0.418351E+06  -0.105471E-01   0.227297E+06   0.227273E+06   0.203173E-01
   0.402558E+00   0.414732E+06   0.412760E+06   0.100930E+00  -0.523658E-01   0.402141E+04   0.412707E+06   0.414440E+06   0.412707E+06  -0.104048E-01   0.224231E+06   0.224207E+06   0.198806E-01
   0.406216E+00   0.409089E+06   0.407140E+06   0.977708E-01  -0.507273E-01   0.390361E+04   0.407090E+06   0.408801E+06   0.407090E+06  -0.102632E-01   0.221179E+06   0.221156E+06   0.194780E-01
   0.409862E+00   0.403526E+06   0.401596E+06   0.947327E-01  -0.491514E-01   0.378998E+04   0.401553E+06   0.403240E+06   0.401553E+06  -0.101236E-01   0.218171E+06   0.218147E+06   0.191038E-01
   0.413507E+00   0.398038E+06   0.396126E+06   0.918035E-01  -0.476319E-01   0.368011E+04   0.396091E+06   0.397755E+06   0.396091E+06  -0.998587E-02   0.215203E+06   0.215180E+06   0.187478E-01
   0.417165E+00   0.392627E+06   0.390731E+06   0.889736E-01  -0.461640E-01   0.357367E+04   0.390704E+06   0.392346E+06   0.390704E+06  -0.985006E-02   0.212277E+06   0.212254E+06   0.184005E-01
   0.420811E+00   0.387349E+06   0.385470E+06   0.862628E-01  -0.447578E-01   0.347147E+04   0.385451E+06   0.387071E+06   0.385451E+06  -0.971762E-02   0.209422E+06   0.209400E+06   0.180574E-01
   0.424469E+00   0.382186E+06   0.380325E+06   0.836518E-01  -0.434033E-01   0.337280E+04   0.380311E+06   0.381910E+06   0.380311E+06  -0.958805E-02   0.206630E+06   0.206608E+06   0.177111E-01
   0.428114E+00   0.377183E+06   0.375342E+06   0.811564E-01  -0.421088E-01   0.327829E+04   0.375332E+06   0.376910E+06   0.375332E+06  -0.946251E-02   0.203925E+06   0.203903E+06   0.173609E-01
   0.431760E+00   0.372324E+06   0.370504E+06   0.787636E-01  -0.408675E-01   0.318747E+04   0.370496E+06   0.372055E+06   0.370496E+06  -0.934061E-02   0.201298E+06   0.201276E+06   0.170049E-01
   0.435418E+00   0.367591E+06   0.365795E+06   0.764611E-01  -0.396731E-01   0.309989E+04   0.365787E+06   0.367325E+06   0.365787E+06  -0.922187E-02   0.198739E+06   0.198717E+06   0.166428E-01
   0.439063E+00   0.363012E+06   0.361241E+06   0.742599E-01  -0.385311E-01   0.301599E+04   0.361230E+06   0.362750E+06   0.361230E+06  -0.910699E-02   0.196263E+06   0.196242E+06   0.162799E-01
   0.442722E+00   0.358546E+06   0.356800E+06   0.721392E-01  -0.374309E-01   0.293500E+04   0.356786E+06   0.358287E+06   0.356786E+06  -0.899496E-02   0.193849E+06   0.193828E+06   0.159173E-01
   0.446367E+00   0.354210E+06   0.352490E+06   0.701076E-01  -0.363769E-01   0.285725E+04   0.352472E+06   0.353955E+06   0.352472E+06  -0.888620E-02   0.191505E+06   0.191484E+06   0.155614E-01
   0.450013E+00   0.349972E+06   0.348278E+06   0.681512E-01  -0.353619E-01   0.278221E+04   0.348256E+06   0.349721E+06   0.348256E+06  -0.877990E-02   0.189214E+06   0.189194E+06   0.152148E-01
   0.453671E+00   0.345802E+06   0.344133E+06   0.662576E-01  -0.343794E-01   0.270943E+04   0.344107E+06   0.345555E+06   0.344107E+06  -0.867529E-02   0.186960E+06   0.186940E+06   0.148797E-01
   0.457316E+00   0.341714E+06   0.340070E+06   0.644347E-01  -0.334337E-01   0.263921E+04   0.340040E+06   0.341471E+06   0.340040E+06  -0.857276E-02   0.184750E+06   0.184730E+06   0.145607E-01
   0.460974E+00   0.337672E+06   0.336050E+06   0.626660E-01  -0.325161E-01   0.257093E+04   0.336018E+06   0.337432E+06   0.336018E+06  -0.847136E-02   0.182565E+06   0.182545E+06   0.142571E-01
   0.464620E+00   0.333698E+06   0.332096E+06   0.609603E-01  -0.316312E-01   0.250493E+04   0.332063E+06   0.333461E+06   0.332063E+06  -0.837165E-02   0.180416E+06   0.180397E+06   0.139710E-01
   0.468265E+00   0.329773E+06   0.328191E+06   0.593089E-01  -0.307744E-01   0.244090E+04   0.328157E+06   0.329539E+06   0.328157E+06  -0.827318E-02   0.178294E+06   0.178275E+06   0.137008E-01
   0.471923E+00   0.325882E+06   0.324317E+06   0.577039E-01  -0.299417E-01   0.237852E+04   0.324285E+06   0.325650E+06   0.324285E+06  -0.817556E-02   0.176190E+06   0.176171E+06   0.134438E-01
   0.475569E+00   0.322052E+06   0.320505E+06   0.561548E-01  -0.291381E-01   0.231819E+04   0.320474E+06   0.321823E+06   0.320474E+06  -0.807948E-02   0.174120E+06   0.174101E+06   0.131995E-01
   0.479227E+00   0.318263E+06   0.316731E+06   0.546499E-01  -0.283573E-01   0.225946E+04   0.316703E+06   0.318036E+06   0.316703E+06  -0.798441E-02   0.172071E+06   0.172052E+06   0.129640E-01
   0.482872E+00   0.314547E+06   0.313030E+06   0.531992E-01  -0.276047E-01   0.220273E+04   0.313004E+06   0.314323E+06   0.313004E+06  -0.789117E-02   0.170062E+06   0.170043E+06   0.127362E-01
   0.486518E+00   0.310897E+06   0.309394E+06   0.517967E-01  -0.268770E-01   0.214778E+04   0.309371E+06   0.310675E+06   0.309371E+06  -0.779958E-02   0.168088E+06   0.168070E+06   0.125133E-01
   0.490176E+00   0.307305E+06   0.305817E+06   0.504367E-01  -0.261715E-01   0.209440E+04   0.305796E+06   0.307085E+06   0.305796E+06  -0.770945E-02   0.166146E+06   0.166127E+06   0.122926E-01
   0.493821E+00   0.303798E+06   0.302325E+06   0.491275E-01  -0.254923E-01   0.204291E+04   0.302306E+06   0.303580E+06   0.302306E+06  -0.762146E-02   0.164249E+06   0.164231E+06   0.120745E-01
   0.497479E+00   0.300353E+06   0.298896E+06   0.478588E-01  -0.248340E-01   0.199293E+04   0.298878E+06   0.300138E+06   0.298878E+06  -0.753504E-02   0.162387E+06   0.162369E+06   0.118569E-01
   0.501125E+00   0.296996E+06   0.295554E+06   0.466376E-01  -0.242004E-01   0.194475E+04   0.295537E+06   0.296782E+06   0.295537E+06  -0.745080E-02   0.160572E+06   0.160554E+06   0.116410E-01
   0.504770E+00   0.293712E+06   0.292287E+06   0.454581E-01  -0.235884E-01   0.189813E+04   0.292269E+06   0.293501E+06   0.292269E+06  -0.736841E-02   0.158796E+06   0.158779E+06   0.114267E-01
   0.508429E+00   0.290488E+06   0.289080E+06   0.443145E-01  -0.229951E-01   0.185286E+04   0.289061E+06   0.290279E+06   0.289061E+06  -0.728753E-02   0.157053E+06   0.157036E+06   0.112140E-01
   0.512074E+00   0.287342E+06   0.285950E+06   0.432127E-01  -0.224234E-01   0.180916E+04   0.285931E+06   0.287136E+06   0.285931E+06  -0.720861E-02   0.155352E+06   0.155335E+06   0.110054E-01
   0.515732E+00   0.284245E+06   0.282870E+06   0.421427E-01  -0.218683E-01   0.176667E+04   0.282849E+06   0.284042E+06   0.282849E+06  -0.713093E-02   0.153678E+06   0.153662E+06   0.108003E-01
   0.519378E+00   0.281214E+06   0.279855E+06   0.411100E-01  -0.213325E-01   0.172558E+04   0.279833E+06   0.281013E+06   0.279833E+06  -0.705489E-02   0.152039E+06   0.152023E+06   0.106011E-01
   0.523023E+00   0.278233E+06   0.276890E+06   0.401092E-01  -0.208132E-01   0.168569E+04   0.276867E+06   0.278034E+06   0.276867E+06  -0.698010E-02   0.150428E+06   0.150411E+06   0.104079E-01
   0.526681E+00   0.275288E+06   0.273961E+06   0.391353E-01  -0.203079E-01   0.164681E+04   0.273936E+06   0.275091E+06   0.273936E+06  -0.690622E-02   0.148836E+06   0.148820E+06   0.102205E-01
   0.530327E+00   0.272397E+06   0.271084E+06   0.381937E-01  -0.198193E-01   0.160917E+04   0.271059E+06   0.272202E+06   0.271059E+06  -0.683369E-02   0.147273E+06   0.147257E+06   0.100405E-01
   0.533985E+00   0.269536E+06   0.268238E+06   0.372766E-01  -0.193434E-01   0.157244E+04   0.268213E+06   0.269344E+06   0.268213E+06  -0.676193E-02   0.145726E+06   0.145710E+06   0.986638E-02
   0.537630E+00   0.266724E+06   0.265439E+06   0.363890E-01  -0.188829E-01   0.153683E+04   0.265414E+06   0.266534E+06   0.265414E+06  -0.669137E-02   0.144205E+06   0.144190E+06   0.969910E-02
   0.541276E+00   0.263949E+06   0.262677E+06   0.355270E-01  -0.184357E-01   0.150219E+04   0.262653E+06   0.263761E+06   0.262653E+06  -0.662176E-02   0.142705E+06   0.142690E+06   0.953745E-02
   0.544934E+00   0.261204E+06   0.259945E+06   0.346871E-01  -0.179999E-01   0.146839E+04   0.259921E+06   0.261018E+06   0.259921E+06  -0.655289E-02   0.141221E+06   0.141206E+06   0.938022E-02
   0.548579E+00   0.258510E+06   0.257262E+06   0.338744E-01  -0.175782E-01   0.143563E+04   0.257240E+06   0.258325E+06   0.257240E+06  -0.648529E-02   0.139764E+06   0.139749E+06   0.922781E-02
   0.552237E+00   0.255848E+06   0.254613E+06   0.330829E-01  -0.171675E-01   0.140368E+04   0.254591E+06   0.255665E+06   0.254591E+06  -0.641851E-02   0.138325E+06   0.138310E+06   0.907843E-02
   0.555883E+00   0.253238E+06   0.252014E+06   0.323173E-01  -0.167703E-01   0.137273E+04   0.251994E+06   0.253057E+06   0.251994E+06  -0.635302E-02   0.136914E+06   0.136899E+06   0.893251E-02
   0.559528E+00   0.250670E+06   0.249458E+06   0.315741E-01  -0.163847E-01   0.134264E+04   0.249438E+06   0.250491E+06   0.249438E+06  -0.628861E-02   0.135526E+06   0.135511E+06   0.878903E-02
   0.563186E+00   0.248137E+06   0.246937E+06   0.308503E-01  -0.160091E-01   0.131329E+04   0.246918E+06   0.247960E+06   0.246918E+06  -0.622506E-02   0.134156E+06   0.134142E+06   0.864718E-02
   0.566832E+00   0.245658E+06   0.244470E+06   0.301504E-01  -0.156460E-01   0.128488E+04   0.244451E+06   0.245482E+06   0.244451E+06  -0.616286E-02   0.132816E+06   0.132801E+06   0.850779E-02
   0.570490E+00   0.243214E+06   0.242038E+06   0.294688E-01  -0.152923E-01   0.125717E+04   0.242019E+06   0.243040E+06   0.242019E+06  -0.610155E-02   0.131494E+06   0.131480E+06   0.836989E-02
   0.574136E+00   0.240822E+06   0.239657E+06   0.288096E-01  -0.149502E-01   0.123033E+04   0.239638E+06   0.240649E+06   0.239638E+06  -0.604153E-02   0.130201E+06   0.130187E+06   0.823453E-02
   0.577781E+00   0.238469E+06   0.237316E+06   0.281693E-01  -0.146180E-01   0.120423E+04   0.237297E+06   0.238299E+06   0.237297E+06  -0.598252E-02   0.128929E+06   0.128915E+06   0.810140E-02
   0.581439E+00   0.236148E+06   0.235006E+06   0.275451E-01  -0.142941E-01   0.117876E+04   0.234987E+06   0.235979E+06   0.234987E+06  -0.592427E-02   0.127674E+06   0.127660E+06   0.797027E-02
   0.585085E+00   0.233871E+06   0.232741E+06   0.269407E-01  -0.139805E-01   0.115405E+04   0.232721E+06   0.233704E+06   0.232721E+06  -0.586715E-02   0.126443E+06   0.126429E+06   0.784230E-02
   0.588743E+00   0.231622E+06   0.230504E+06   0.263511E-01  -0.136745E-01   0.112992E+04   0.230484E+06   0.231457E+06   0.230484E+06  -0.581074E-02   0.125227E+06   0.125214E+06   0.771681E-02
   0.592388E+00   0.229415E+06   0.228308E+06   0.257797E-01  -0.133781E-01   0.110651E+04   0.228287E+06   0.229251E+06   0.228287E+06  -0.575537E-02   0.124034E+06   0.124020E+06   0.759482E-02
   0.596034E+00   0.227240E+06   0.226143E+06   0.252238E-01  -0.130896E-01   0.108370E+04   0.226123E+06   0.227077E+06   0.226123E+06  -0.570079E-02   0.122858E+06   0.122845E+06   0.747596E-02
   0.599692E+00   0.225087E+06   0.224001E+06   0.246810E-01  -0.128080E-01   0.106140E+04   0.223980E+06   0.224926E+06   0.223980E+06  -0.564678E-02   0.121694E+06   0.121681E+06   0.735983E-02
