#    L    TT             EE             TE             PP             TP          
  1318   0.709728E+03   0.299107E+02  -0.571670E+02   0.175767E+06   0.289777E+02
  1319   0.711000E+03   0.297749E+02  -0.577322E+02   0.175502E+06   0.292022E+02
  1320   0.712312E+03   0.296359E+02  -0.582838E+02   0.175237E+06   0.294260E+02
  1321   0.713663E+03   0.294945E+02  -0.588234E+02   0.174972E+06   0.296490E+02
  1322   0.715061E+03   0.293477E+02  -0.593487E+02   0.174709E+06   0.298710E+02
  1323   0.716497E+03   0.291986E+02  -0.598606E+02   0.174445E+06   0.300922E+02
  1324   0.717972E+03   0.290463E+02  -0.603599E+02   0.174183E+06   0.303122E+02
  1325   0.719478E+03   0.288909E+02  -0.608444E+02   0.173920E+06   0.305312E+02
  1326   0.721029E+03   0.287325E+02  -0.613158E+02   0.173659E+06   0.307489E+02
  1327   0.722596E+03   0.285718E+02  -0.617733E+02   0.173398E+06   0.309653E+02
  1328   0.724215E+03   0.284081E+02  -0.622148E+02   0.173137E+06   0.311803E+02
  1329   0.725857E+03   0.282406E+02  -0.626433E+02   0.172877E+06   0.313939E+02
  1330   0.727528E+03   0.280702E+02  -0.630568E+02   0.172617E+06   0.316059E+02
  1331   0.729236E+03   0.278975E+02  -0.634552E+02   0.172358E+06   0.318163E+02
  1332   0.730957E+03   0.277219E+02  -0.638393E+02   0.172100E+06   0.320250E+02
  1333   0.732715E+03   0.275434E+02  -0.642071E+02   0.171842E+06   0.322319E+02
  1334   0.734494E+03   0.273635E+02  -0.645609E+02   0.171584E+06   0.324369E+02
  1335   0.736294E+03   0.271800E+02  -0.648991E+02   0.171328E+06   0.326400E+02
  1336   0.738122E+03   0.269952E+02  -0.652205E+02   0.171071E+06   0.328410E+02
  1337   0.739970E+03   0.268068E+02  -0.655273E+02   0.170815E+06   0.330399E+02
  1338   0.741830E+03   0.266170E+02  -0.658181E+02   0.170560E+06   0.332366E+02
  1339   0.743717E+03   0.264245E+02  -0.660937E+02   0.170305E+06   0.334310E+02
  1340   0.745617E+03   0.262307E+02  -0.663542E+02   0.170051E+06   0.336231E+02
  1341   0.747528E+03   0.260357E+02  -0.665974E+02   0.169797E+06   0.338127E+02
  1342   0.749450E+03   0.258380E+02  -0.668250E+02   0.169543E+06   0.339997E+02
  1343   0.751391E+03   0.256383E+02  -0.670362E+02   0.169291E+06   0.341842E+02
  1344   0.753343E+03   0.254367E+02  -0.672311E+02   0.169038E+06   0.343659E+02
  1345   0.755290E+03   0.252347E+02  -0.674090E+02   0.168786E+06   0.345449E+02
  1346   0.757255E+03   0.250300E+02  -0.675723E+02   0.168535E+06   0.347210E+02
  1347   0.759231E+03   0.248242E+02  -0.677181E+02   0.168284E+06   0.348941E+02
  1348   0.761201E+03   0.246174E+02  -0.678471E+02   0.168034E+06   0.350642E+02
  1349   0.763188E+03   0.244080E+02  -0.679595E+02   0.167784E+06   0.352313E+02
  1350   0.765162E+03   0.241990E+02  -0.680553E+02   0.167535E+06   0.353951E+02
  1351   0.767145E+03   0.239882E+02  -0.681346E+02   0.167286E+06   0.355556E+02
  1352   0.769115E+03   0.237764E+02  -0.681968E+02   0.167037E+06   0.357129E+02
  1353   0.771094E+03   0.235651E+02  -0.682426E+02   0.166790E+06   0.358669E+02
  1354   0.773060E+03   0.233520E+02  -0.682723E+02   0.166542E+06   0.360175E+02
  1355   0.775035E+03   0.231378E+02  -0.682851E+02   0.166295E+06   0.361649E+02
  1356   0.777006E+03   0.229241E+02  -0.682826E+02   0.166049E+06   0.363088E+02
  1357   0.778963E+03   0.227086E+02  -0.682620E+02   0.165803E+06   0.364495E+02
  1358   0.780901E+03   0.224928E+02  -0.682234E+02   0.165558E+06   0.365868E+02
  1359   0.782834E+03   0.222768E+02  -0.681705E+02   0.165313E+06   0.367206E+02
  1360   0.784740E+03   0.220619E+02  -0.680998E+02   0.165068E+06   0.368512E+02
  1361   0.786656E+03   0.218444E+02  -0.680136E+02   0.164824E+06   0.369783E+02
  1362   0.788538E+03   0.216274E+02  -0.679097E+02   0.164581E+06   0.371020E+02
  1363   0.790415E+03   0.214101E+02  -0.677920E+02   0.164338E+06   0.372222E+02
  1364   0.792251E+03   0.211933E+02  -0.676561E+02   0.164095E+06   0.373390E+02
  1365   0.794157E+03   0.209761E+02  -0.675036E+02   0.163853E+06   0.374524E+02
  1366   0.795970E+03   0.207586E+02  -0.673369E+02   0.163611E+06   0.375623E+02
  1367   0.797764E+03   0.205408E+02  -0.671537E+02   0.163370E+06   0.376687E+02
  1368   0.799614E+03   0.203249E+02  -0.669542E+02   0.163130E+06   0.377717E+02
  1369   0.801371E+03   0.201079E+02  -0.667384E+02   0.162889E+06   0.378711E+02
  1370   0.803110E+03   0.198921E+02  -0.665081E+02   0.162650E+06   0.379670E+02
  1371   0.804831E+03   0.196767E+02  -0.662617E+02   0.162410E+06   0.380594E+02
  1372   0.806533E+03   0.194618E+02  -0.660002E+02   0.162172E+06   0.381483E+02
  1373   0.808217E+03   0.192480E+02  -0.657236E+02   0.161933E+06   0.382336E+02
  1374   0.809884E+03   0.190346E+02  -0.654312E+02   0.161696E+06   0.383153E+02
  1375   0.811533E+03   0.188217E+02  -0.651248E+02   0.161458E+06   0.383934E+02
  1376   0.813164E+03   0.186098E+02  -0.648028E+02   0.161221E+06   0.384680E+02
  1377   0.814778E+03   0.183999E+02  -0.644668E+02   0.160985E+06   0.385389E+02
  1378   0.816374E+03   0.181889E+02  -0.641163E+02   0.160749E+06   0.386063E+02
  1379   0.817879E+03   0.179813E+02  -0.637513E+02   0.160513E+06   0.386700E+02
  1380   0.819367E+03   0.177726E+02  -0.633727E+02   0.160278E+06   0.387300E+02
  1381   0.820838E+03   0.175666E+02  -0.629790E+02   0.160043E+06   0.387864E+02
  1382   0.822143E+03   0.173616E+02  -0.625711E+02   0.159809E+06   0.388392E+02
  1383   0.823580E+03   0.171579E+02  -0.621506E+02   0.159575E+06   0.388882E+02
  1384   0.824852E+03   0.169560E+02  -0.617162E+02   0.159342E+06   0.389336E+02
  1385   0.826108E+03   0.167552E+02  -0.612685E+02   0.159109E+06   0.389752E+02
  1386   0.827347E+03   0.165563E+02  -0.608079E+02   0.158877E+06   0.390132E+02
  1387   0.828496E+03   0.163593E+02  -0.603342E+02   0.158645E+06   0.390474E+02
  1388   0.829777E+03   0.161635E+02  -0.598485E+02   0.158414E+06   0.390778E+02
  1389   0.830894E+03   0.159695E+02  -0.593492E+02   0.158182E+06   0.391045E+02
  1390   0.831921E+03   0.157781E+02  -0.588396E+02   0.157952E+06   0.391275E+02
  1391   0.833006E+03   0.155886E+02  -0.583173E+02   0.157722E+06   0.391466E+02
  1392   0.834001E+03   0.154010E+02  -0.577834E+02   0.157492E+06   0.391620E+02
  1393   0.834981E+03   0.152159E+02  -0.572378E+02   0.157263E+06   0.391736E+02
  1394   0.835871E+03   0.150328E+02  -0.566822E+02   0.157034E+06   0.391813E+02
  1395   0.836746E+03   0.148515E+02  -0.561144E+02   0.156805E+06   0.391852E+02
  1396   0.837606E+03   0.146735E+02  -0.555375E+02   0.156577E+06   0.391852E+02
  1397   0.838377E+03   0.144974E+02  -0.549494E+02   0.156350E+06   0.391814E+02
  1398   0.839058E+03   0.143232E+02  -0.543509E+02   0.156123E+06   0.391738E+02
  1399   0.839725E+03   0.141530E+02  -0.537429E+02   0.155896E+06   0.391622E+02
  1400   0.840378E+03   0.139847E+02  -0.531254E+02   0.155670E+06   0.391467E+02
  1401   0.840941E+03   0.138183E+02  -0.524986E+02   0.155444E+06   0.391274E+02
  1402   0.841491E+03   0.136559E+02  -0.518632E+02   0.155219E+06   0.391041E+02
  1403   0.841953E+03   0.134960E+02  -0.512185E+02   0.154994E+06   0.390770E+02
  1404   0.842327E+03   0.133395E+02  -0.505653E+02   0.154769E+06   0.390460E+02
  1405   0.842762E+03   0.131846E+02  -0.499036E+02   0.154545E+06   0.390112E+02
  1406   0.843036E+03   0.130338E+02  -0.492349E+02   0.154321E+06   0.389725E+02
  1407   0.843223E+03   0.128854E+02  -0.485578E+02   0.154098E+06   0.389300E+02
  1408   0.843548E+03   0.127395E+02  -0.478730E+02   0.153875E+06   0.388837E+02
  1409   0.843638E+03   0.125975E+02  -0.471807E+02   0.153653E+06   0.388337E+02
  1410   0.843790E+03   0.124578E+02  -0.464822E+02   0.153431E+06   0.387798E+02
  1411   0.843858E+03   0.123213E+02  -0.457762E+02   0.153209E+06   0.387222E+02
  1412   0.843842E+03   0.121887E+02  -0.450634E+02   0.152988E+06   0.386609E+02
  1413   0.843666E+03   0.120591E+02  -0.443445E+02   0.152767E+06   0.385958E+02
  1414   0.843555E+03   0.119325E+02  -0.436189E+02   0.152547E+06   0.385270E+02
  1415   0.843361E+03   0.118090E+02  -0.428882E+02   0.152327E+06   0.384546E+02
  1416   0.843157E+03   0.116892E+02  -0.421522E+02   0.152108E+06   0.383784E+02
  1417   0.842797E+03   0.115717E+02  -0.414118E+02   0.151889E+06   0.382986E+02
  1418   0.842428E+03   0.114579E+02  -0.406648E+02   0.151670E+06   0.382152E+02
  1419   0.841977E+03   0.113477E+02  -0.399143E+02   0.151452E+06   0.381281E+02
  1420   0.841518E+03   0.112412E+02  -0.391593E+02   0.151234E+06   0.380374E+02
  1421   0.840978E+03   0.111377E+02  -0.384001E+02   0.151016E+06   0.379431E+02
  1422   0.840431E+03   0.110377E+02  -0.376374E+02   0.150799E+06   0.378452E+02
  1423   0.839730E+03   0.109413E+02  -0.368712E+02   0.150583E+06   0.377437E+02
  1424   0.839096E+03   0.108485E+02  -0.361015E+02   0.150367E+06   0.376387E+02
  1425   0.838308E+03   0.107593E+02  -0.353292E+02   0.150151E+06   0.375302E+02
  1426   0.837441E+03   0.106736E+02  -0.345542E+02   0.149935E+06   0.374181E+02
  1427   0.836643E+03   0.105914E+02  -0.337766E+02   0.149720E+06   0.373025E+02
  1428   0.835692E+03   0.105119E+02  -0.329978E+02   0.149506E+06   0.371834E+02
  1429   0.834662E+03   0.104374E+02  -0.322158E+02   0.149292E+06   0.370609E+02
  1430   0.833628E+03   0.103656E+02  -0.314342E+02   0.149078E+06   0.369348E+02
  1431   0.832517E+03   0.102972E+02  -0.306500E+02   0.148864E+06   0.368054E+02
  1432   0.831328E+03   0.102329E+02  -0.298657E+02   0.148651E+06   0.366725E+02
  1433   0.830211E+03   0.101720E+02  -0.290804E+02   0.148439E+06   0.365362E+02
  1434   0.828943E+03   0.101152E+02  -0.282948E+02   0.148226E+06   0.363964E+02
  1435   0.827598E+03   0.100610E+02  -0.275099E+02   0.148015E+06   0.362533E+02
  1436   0.826252E+03   0.100109E+02  -0.267264E+02   0.147803E+06   0.361068E+02
  1437   0.824756E+03   0.996477E+01  -0.259420E+02   0.147592E+06   0.359570E+02
  1438   0.823259E+03   0.992118E+01  -0.251605E+02   0.147382E+06   0.358038E+02
  1439   0.821687E+03   0.988231E+01  -0.243782E+02   0.147171E+06   0.356473E+02
  1440   0.820115E+03   0.984666E+01  -0.235989E+02   0.146961E+06   0.354875E+02
  1441   0.818468E+03   0.981421E+01  -0.228225E+02   0.146752E+06   0.353244E+02
  1442   0.816748E+03   0.978569E+01  -0.220478E+02   0.146543E+06   0.351581E+02
  1443   0.814955E+03   0.976180E+01  -0.212746E+02   0.146334E+06   0.349884E+02
  1444   0.813163E+03   0.974030E+01  -0.205052E+02   0.146126E+06   0.348155E+02
  1445   0.811224E+03   0.972339E+01  -0.197396E+02   0.145918E+06   0.346394E+02
  1446   0.809361E+03   0.970884E+01  -0.189765E+02   0.145710E+06   0.344601E+02
  1447   0.807277E+03   0.969883E+01  -0.182158E+02   0.145503E+06   0.342775E+02
  1448   0.805271E+03   0.969261E+01  -0.174621E+02   0.145296E+06   0.340918E+02
  1449   0.803193E+03   0.968867E+01  -0.167115E+02   0.145090E+06   0.339029E+02
  1450   0.801045E+03   0.968922E+01  -0.159657E+02   0.144884E+06   0.337108E+02
  1451   0.798900E+03   0.969348E+01  -0.152262E+02   0.144678E+06   0.335157E+02
  1452   0.796611E+03   0.970071E+01  -0.144929E+02   0.144473E+06   0.333174E+02
  1453   0.794326E+03   0.971162E+01  -0.137634E+02   0.144268E+06   0.331163E+02
  1454   0.792045E+03   0.972618E+01  -0.130394E+02   0.144064E+06   0.329122E+02
  1455   0.789696E+03   0.974364E+01  -0.123221E+02   0.143859E+06   0.327054E+02
  1456   0.787277E+03   0.976547E+01  -0.116123E+02   0.143656E+06   0.324960E+02
  1457   0.784714E+03   0.978941E+01  -0.109077E+02   0.143452E+06   0.322840E+02
  1458   0.782232E+03   0.981767E+01  -0.102096E+02   0.143249E+06   0.320695E+02
  1459   0.779681E+03   0.984875E+01  -0.951741E+01   0.143046E+06   0.318526E+02
  1460   0.777061E+03   0.988411E+01  -0.883317E+01   0.142844E+06   0.316334E+02
  1461   0.774448E+03   0.992076E+01  -0.815684E+01   0.142642E+06   0.314121E+02
  1462   0.771768E+03   0.996165E+01  -0.748763E+01   0.142441E+06   0.311886E+02
  1463   0.768945E+03   0.100060E+02  -0.682549E+01   0.142240E+06   0.309632E+02
  1464   0.766204E+03   0.100531E+02  -0.617109E+01   0.142039E+06   0.307358E+02
  1465   0.763322E+03   0.101036E+02  -0.552513E+01   0.141838E+06   0.305066E+02
  1466   0.760521E+03   0.101576E+02  -0.488679E+01   0.141638E+06   0.302758E+02
  1467   0.757580E+03   0.102142E+02  -0.425752E+01   0.141438E+06   0.300433E+02
  1468   0.754646E+03   0.102741E+02  -0.363651E+01   0.141239E+06   0.298092E+02
  1469   0.751721E+03   0.103367E+02  -0.302445E+01   0.141040E+06   0.295738E+02
  1470   0.748582E+03   0.104019E+02  -0.242053E+01   0.140841E+06   0.293370E+02
  1471   0.745600E+03   0.104712E+02  -0.182692E+01   0.140643E+06   0.290990E+02
  1472   0.742552E+03   0.105429E+02  -0.124209E+01   0.140445E+06   0.288598E+02
  1473   0.739440E+03   0.106173E+02  -0.667465E+00   0.140248E+06   0.286196E+02
  1474   0.736189E+03   0.106941E+02  -0.101495E+00   0.140050E+06   0.283784E+02
  1475   0.733022E+03   0.107735E+02   0.454389E+00   0.139854E+06   0.281363E+02
  1476   0.729790E+03   0.108560E+02   0.999500E+00   0.139657E+06   0.278935E+02
  1477   0.726569E+03   0.109410E+02   0.153538E+01   0.139461E+06   0.276501E+02
  1478   0.723284E+03   0.110284E+02   0.206061E+01   0.139265E+06   0.274060E+02
  1479   0.720010E+03   0.111190E+02   0.257501E+01   0.139070E+06   0.271615E+02
  1480   0.716673E+03   0.112120E+02   0.307909E+01   0.138875E+06   0.269166E+02
  1481   0.713280E+03   0.113066E+02   0.357247E+01   0.138680E+06   0.266714E+02
  1482   0.709906E+03   0.114043E+02   0.405497E+01   0.138486E+06   0.264260E+02
  1483   0.706484E+03   0.115044E+02   0.452636E+01   0.138292E+06   0.261805E+02
  1484   0.703067E+03   0.116060E+02   0.498662E+01   0.138098E+06   0.259350E+02
  1485   0.699603E+03   0.117099E+02   0.543552E+01   0.137905E+06   0.256896E+02
  1486   0.696114E+03   0.118168E+02   0.587317E+01   0.137712E+06   0.254443E+02
  1487   0.692601E+03   0.119244E+02   0.629920E+01   0.137519E+06   0.251994E+02
  1488   0.689086E+03   0.120351E+02   0.671366E+01   0.137327E+06   0.249548E+02
  1489   0.685525E+03   0.121479E+02   0.711624E+01   0.137135E+06   0.247107E+02
  1490   0.681955E+03   0.122615E+02   0.750702E+01   0.136943E+06   0.244672E+02
  1491   0.678369E+03   0.123772E+02   0.788573E+01   0.136752E+06   0.242243E+02
  1492   0.674775E+03   0.124951E+02   0.825241E+01   0.136561E+06   0.239822E+02
  1493   0.671158E+03   0.126136E+02   0.860687E+01   0.136371E+06   0.237409E+02
  1494   0.667526E+03   0.127343E+02   0.894904E+01   0.136180E+06   0.235006E+02
  1495   0.663886E+03   0.128570E+02   0.927886E+01   0.135991E+06   0.232613E+02
  1496   0.660232E+03   0.129810E+02   0.959631E+01   0.135801E+06   0.230232E+02
  1497   0.656563E+03   0.131056E+02   0.990122E+01   0.135612E+06   0.227863E+02
  1498   0.652895E+03   0.132323E+02   0.101935E+02   0.135423E+06   0.225507E+02
  1499   0.649213E+03   0.133594E+02   0.104732E+02   0.135235E+06   0.223165E+02
  1500   0.645524E+03   0.134886E+02   0.107402E+02   0.135046E+06   0.220839E+02
  1501   0.641830E+03   0.136182E+02   0.109946E+02   0.134859E+06   0.218528E+02
  1502   0.638129E+03   0.137491E+02   0.112359E+02   0.134671E+06   0.216233E+02
  1503   0.634430E+03   0.138812E+02   0.114644E+02   0.134484E+06   0.213953E+02
  1504   0.630725E+03   0.140137E+02   0.116803E+02   0.134297E+06   0.211689E+02
  1505   0.627013E+03   0.141475E+02   0.118832E+02   0.134111E+06   0.209438E+02
  1506   0.623302E+03   0.142818E+02   0.120734E+02   0.133924E+06   0.207202E+02
  1507   0.619592E+03   0.144173E+02   0.122507E+02   0.133739E+06   0.204979E+02
  1508   0.615884E+03   0.145532E+02   0.124150E+02   0.133553E+06   0.202769E+02
  1509   0.612168E+03   0.146889E+02   0.125665E+02   0.133368E+06   0.200572E+02
  1510   0.608468E+03   0.148266E+02   0.127049E+02   0.133183E+06   0.198387E+02
  1511   0.604754E+03   0.149640E+02   0.128312E+02   0.132999E+06   0.196214E+02
  1512   0.601048E+03   0.151019E+02   0.129430E+02   0.132814E+06   0.194053E+02
  1513   0.597342E+03   0.152402E+02   0.130435E+02   0.132630E+06   0.191903E+02
  1514   0.593652E+03   0.153798E+02   0.131306E+02   0.132447E+06   0.189763E+02
  1515   0.589984E+03   0.155191E+02   0.132058E+02   0.132264E+06   0.187633E+02
  1516   0.586302E+03   0.156581E+02   0.132669E+02   0.132081E+06   0.185513E+02
  1517   0.582635E+03   0.157976E+02   0.133163E+02   0.131898E+06   0.183403E+02
  1518   0.578975E+03   0.159376E+02   0.133541E+02   0.131716E+06   0.181301E+02
  1519   0.575323E+03   0.160766E+02   0.133774E+02   0.131534E+06   0.179208E+02
  1520   0.571693E+03   0.162160E+02   0.133891E+02   0.131353E+06   0.177123E+02
  1521   0.568063E+03   0.163560E+02   0.133888E+02   0.131171E+06   0.175046E+02
  1522   0.564440E+03   0.164949E+02   0.133756E+02   0.130990E+06   0.172976E+02
  1523   0.560839E+03   0.166335E+02   0.133505E+02   0.130810E+06   0.170912E+02
  1524   0.557245E+03   0.167726E+02   0.133127E+02   0.130629E+06   0.168855E+02
  1525   0.553666E+03   0.169115E+02   0.132631E+02   0.130449E+06   0.166804E+02
  1526   0.550108E+03   0.170493E+02   0.132019E+02   0.130270E+06   0.164759E+02
  1527   0.546565E+03   0.171861E+02   0.131275E+02   0.130090E+06   0.162718E+02
  1528   0.543036E+03   0.173234E+02   0.130422E+02   0.129911E+06   0.160682E+02
  1529   0.539529E+03   0.174597E+02   0.129455E+02   0.129733E+06   0.158651E+02
  1530   0.536043E+03   0.175949E+02   0.128367E+02   0.129554E+06   0.156623E+02
  1531   0.532571E+03   0.177299E+02   0.127158E+02   0.129376E+06   0.154599E+02
  1532   0.529128E+03   0.178646E+02   0.125845E+02   0.129198E+06   0.152578E+02
  1533   0.525699E+03   0.179975E+02   0.124427E+02   0.129021E+06   0.150559E+02
  1534   0.522298E+03   0.181302E+02   0.122877E+02   0.128844E+06   0.148542E+02
  1535   0.518918E+03   0.182618E+02   0.121231E+02   0.128667E+06   0.146527E+02
  1536   0.515560E+03   0.183917E+02   0.119470E+02   0.128491E+06   0.144514E+02
  1537   0.512237E+03   0.185213E+02   0.117600E+02   0.128314E+06   0.142501E+02
  1538   0.508943E+03   0.186499E+02   0.115630E+02   0.128138E+06   0.140489E+02
  1539   0.505639E+03   0.187760E+02   0.113554E+02   0.127963E+06   0.138476E+02
  1540   0.502386E+03   0.189011E+02   0.111380E+02   0.127788E+06   0.136464E+02
  1541   0.499162E+03   0.190258E+02   0.109093E+02   0.127613E+06   0.134450E+02
  1542   0.495965E+03   0.191489E+02   0.106718E+02   0.127438E+06   0.132435E+02
  1543   0.492788E+03   0.192694E+02   0.104231E+02   0.127264E+06   0.130419E+02
  1544   0.489647E+03   0.193896E+02   0.101658E+02   0.127090E+06   0.128400E+02
  1545   0.486542E+03   0.195073E+02   0.989902E+01   0.126916E+06   0.126379E+02
  1546   0.483456E+03   0.196233E+02   0.962219E+01   0.126742E+06   0.124355E+02
  1547   0.480405E+03   0.197382E+02   0.933687E+01   0.126569E+06   0.122328E+02
  1548   0.477397E+03   0.198514E+02   0.904239E+01   0.126396E+06   0.120297E+02
  1549   0.474417E+03   0.199621E+02   0.873958E+01   0.126224E+06   0.118261E+02
  1550   0.471478E+03   0.200710E+02   0.842777E+01   0.126052E+06   0.116221E+02
  1551   0.468560E+03   0.201781E+02   0.810706E+01   0.125880E+06   0.114177E+02
  1552   0.465691E+03   0.202827E+02   0.777895E+01   0.125708E+06   0.112127E+02
  1553   0.462848E+03   0.203864E+02   0.744348E+01   0.125537E+06   0.110074E+02
  1554   0.460047E+03   0.204883E+02   0.709920E+01   0.125366E+06   0.108017E+02
  1555   0.457273E+03   0.205870E+02   0.674763E+01   0.125195E+06   0.105957E+02
  1556   0.454546E+03   0.206834E+02   0.638805E+01   0.125025E+06   0.103894E+02
  1557   0.451853E+03   0.207780E+02   0.602123E+01   0.124854E+06   0.101830E+02
  1558   0.449201E+03   0.208711E+02   0.564796E+01   0.124685E+06   0.997640E+01
  1559   0.446596E+03   0.209602E+02   0.526678E+01   0.124515E+06   0.976972E+01
  1560   0.444023E+03   0.210485E+02   0.487846E+01   0.124346E+06   0.956301E+01
  1561   0.441468E+03   0.211338E+02   0.448378E+01   0.124177E+06   0.935631E+01
  1562   0.438952E+03   0.212174E+02   0.408202E+01   0.124008E+06   0.914967E+01
  1563   0.436482E+03   0.212980E+02   0.367470E+01   0.123840E+06   0.894315E+01
  1564   0.434059E+03   0.213771E+02   0.326112E+01   0.123672E+06   0.873679E+01
  1565   0.431682E+03   0.214525E+02   0.284130E+01   0.123504E+06   0.853066E+01
  1566   0.429336E+03   0.215263E+02   0.241676E+01   0.123337E+06   0.832480E+01
  1567   0.427020E+03   0.215957E+02   0.198531E+01   0.123169E+06   0.811926E+01
  1568   0.424750E+03   0.216651E+02   0.154904E+01   0.123002E+06   0.791409E+01
  1569   0.422532E+03   0.217308E+02   0.110756E+01   0.122836E+06   0.770935E+01
  1570   0.420352E+03   0.217951E+02   0.661268E+00   0.122670E+06   0.750509E+01
  1571   0.418216E+03   0.218580E+02   0.210782E+00   0.122504E+06   0.730137E+01
  1572   0.416109E+03   0.219158E+02  -0.245051E+00   0.122338E+06   0.709822E+01
  1573   0.414046E+03   0.219722E+02  -0.705012E+00   0.122172E+06   0.689571E+01
  1574   0.412042E+03   0.220250E+02  -0.116914E+01   0.122007E+06   0.669388E+01
  1575   0.410067E+03   0.220765E+02  -0.163711E+01   0.121842E+06   0.649279E+01
  1576   0.408135E+03   0.221229E+02  -0.210882E+01   0.121678E+06   0.629249E+01
  1577   0.406246E+03   0.221681E+02  -0.258401E+01   0.121513E+06   0.609304E+01
  1578   0.404399E+03   0.222105E+02  -0.306235E+01   0.121349E+06   0.589447E+01
  1579   0.402603E+03   0.222493E+02  -0.354373E+01   0.121186E+06   0.569685E+01
  1580   0.400833E+03   0.222870E+02  -0.402791E+01   0.121022E+06   0.550023E+01
  1581   0.399106E+03   0.223211E+02  -0.451462E+01   0.120859E+06   0.530466E+01
  1582   0.397435E+03   0.223526E+02  -0.500369E+01   0.120696E+06   0.511019E+01
  1583   0.395791E+03   0.223799E+02  -0.549487E+01   0.120534E+06   0.491687E+01
  1584   0.394203E+03   0.224060E+02  -0.598804E+01   0.120371E+06   0.472475E+01
  1585   0.392641E+03   0.224295E+02  -0.648281E+01   0.120209E+06   0.453389E+01
  1586   0.391135E+03   0.224488E+02  -0.697895E+01   0.120047E+06   0.434434E+01
  1587   0.389668E+03   0.224663E+02  -0.747649E+01   0.119886E+06   0.415615E+01
  1588   0.388250E+03   0.224804E+02  -0.797501E+01   0.119725E+06   0.396937E+01
  1589   0.386864E+03   0.224920E+02  -0.847425E+01   0.119564E+06   0.378405E+01
  1590   0.385518E+03   0.225003E+02  -0.897401E+01   0.119403E+06   0.360025E+01
  1591   0.384225E+03   0.225060E+02  -0.947404E+01   0.119243E+06   0.341802E+01
  1592   0.382965E+03   0.225092E+02  -0.997402E+01   0.119083E+06   0.323741E+01
  1593   0.381751E+03   0.225092E+02  -0.104740E+02   0.118923E+06   0.305846E+01
  1594   0.380568E+03   0.225067E+02  -0.109735E+02   0.118763E+06   0.288124E+01
  1595   0.379438E+03   0.225017E+02  -0.114722E+02   0.118604E+06   0.270579E+01
  1596   0.378354E+03   0.224928E+02  -0.119700E+02   0.118445E+06   0.253217E+01
  1597   0.377301E+03   0.224814E+02  -0.124666E+02   0.118286E+06   0.236043E+01
  1598   0.376292E+03   0.224669E+02  -0.129617E+02   0.118128E+06   0.219062E+01
  1599   0.375321E+03   0.224500E+02  -0.134553E+02   0.117970E+06   0.202279E+01
  1600   0.374394E+03   0.224307E+02  -0.139470E+02   0.117812E+06   0.185699E+01
  1601   0.373504E+03   0.224083E+02  -0.144365E+02   0.117654E+06   0.169327E+01
  1602   0.372644E+03   0.223821E+02  -0.149237E+02   0.117497E+06   0.153163E+01
  1603   0.371842E+03   0.223536E+02  -0.154087E+02   0.117340E+06   0.137207E+01
  1604   0.371068E+03   0.223220E+02  -0.158914E+02   0.117183E+06   0.121458E+01
  1605   0.370339E+03   0.222881E+02  -0.163706E+02   0.117026E+06   0.105916E+01
  1606   0.369645E+03   0.222512E+02  -0.168477E+02   0.116870E+06   0.905810E+00
  1607   0.368986E+03   0.222121E+02  -0.173219E+02   0.116714E+06   0.754519E+00
  1608   0.368363E+03   0.221707E+02  -0.177919E+02   0.116558E+06   0.605286E+00
  1609   0.367789E+03   0.221248E+02  -0.182591E+02   0.116403E+06   0.458106E+00
  1610   0.367251E+03   0.220768E+02  -0.187228E+02   0.116248E+06   0.312977E+00
  1611   0.366740E+03   0.220266E+02  -0.191823E+02   0.116093E+06   0.169893E+00
  1612   0.366278E+03   0.219728E+02  -0.196385E+02   0.115938E+06   0.288518E-01
  1613   0.365835E+03   0.219168E+02  -0.200906E+02   0.115784E+06  -0.110152E+00
  1614   0.365441E+03   0.218586E+02  -0.205387E+02   0.115630E+06  -0.247121E+00
  1615   0.365081E+03   0.217977E+02  -0.209819E+02   0.115476E+06  -0.382061E+00
  1616   0.364748E+03   0.217339E+02  -0.214205E+02   0.115322E+06  -0.514974E+00
  1617   0.364454E+03   0.216680E+02  -0.218544E+02   0.115169E+06  -0.645865E+00
  1618   0.364194E+03   0.215993E+02  -0.222837E+02   0.115016E+06  -0.774737E+00
  1619   0.363952E+03   0.215279E+02  -0.227083E+02   0.114863E+06  -0.901596E+00
  1620   0.363765E+03   0.214544E+02  -0.231277E+02   0.114710E+06  -0.102644E+01
  1621   0.363603E+03   0.213775E+02  -0.235418E+02   0.114558E+06  -0.114929E+01
  1622   0.363473E+03   0.212993E+02  -0.239507E+02   0.114406E+06  -0.127012E+01
  1623   0.363368E+03   0.212184E+02  -0.243544E+02   0.114254E+06  -0.138897E+01
  1624   0.363302E+03   0.211355E+02  -0.247514E+02   0.114103E+06  -0.150581E+01
  1625   0.363267E+03   0.210493E+02  -0.251434E+02   0.113951E+06  -0.162067E+01
  1626   0.363257E+03   0.209619E+02  -0.255295E+02   0.113800E+06  -0.173354E+01
  1627   0.363270E+03   0.208711E+02  -0.259092E+02   0.113650E+06  -0.184442E+01
  1628   0.363314E+03   0.207792E+02  -0.262831E+02   0.113499E+06  -0.195333E+01
  1629   0.363389E+03   0.206846E+02  -0.266498E+02   0.113349E+06  -0.206026E+01
