#    L    TT             EE             BB             TE          
    91   0.236067E+04   0.642839E+00   0.648292E-04  -0.171437E+02
    92   0.238905E+04   0.658377E+00   0.647038E-04  -0.177769E+02
    93   0.241772E+04   0.673885E+00   0.645491E-04  -0.184149E+02
    94   0.244648E+04   0.689325E+00   0.643657E-04  -0.190563E+02
    95   0.247553E+04   0.704698E+00   0.641542E-04  -0.197018E+02
    96   0.250458E+04   0.719987E+00   0.639154E-04  -0.203507E+02
    97   0.253409E+04   0.735177E+00   0.636499E-04  -0.210022E+02
    98   0.256381E+04   0.750261E+00   0.633583E-04  -0.216541E+02
    99   0.259362E+04   0.765201E+00   0.630413E-04  -0.223095E+02
   100   0.262372E+04   0.779996E+00   0.626995E-04  -0.229639E+02
   101   0.265397E+04   0.794706E+00   0.623336E-04  -0.236203E+02
   102   0.268474E+04   0.809181E+00   0.619442E-04  -0.242764E+02
   103   0.271544E+04   0.823495E+00   0.615321E-04  -0.249330E+02
   104   0.274636E+04   0.837648E+00   0.610978E-04  -0.255872E+02
   105   0.277743E+04   0.851565E+00   0.606420E-04  -0.262405E+02
   106   0.280872E+04   0.865320E+00   0.601653E-04  -0.268921E+02
   107   0.283994E+04   0.878763E+00   0.596685E-04  -0.275406E+02
   108   0.287153E+04   0.891970E+00   0.591521E-04  -0.281867E+02
   109   0.290327E+04   0.904864E+00   0.586169E-04  -0.288289E+02
   110   0.293508E+04   0.917446E+00   0.580634E-04  -0.294659E+02
   111   0.296704E+04   0.929789E+00   0.574924E-04  -0.300990E+02
   112   0.299915E+04   0.941819E+00   0.569046E-04  -0.307275E+02
   113   0.303148E+04   0.953536E+00   0.563009E-04  -0.313500E+02
   114   0.306388E+04   0.964866E+00   0.556820E-04  -0.319655E+02
   115   0.309651E+04   0.975956E+00   0.550487E-04  -0.325742E+02
   116   0.312913E+04   0.986585E+00   0.544020E-04  -0.331751E+02
   117   0.316206E+04   0.996825E+00   0.537425E-04  -0.337676E+02
   118   0.319513E+04   0.100683E+01   0.530711E-04  -0.343524E+02
   119   0.322820E+04   0.101644E+01   0.523885E-04  -0.349272E+02
   120   0.326143E+04   0.102552E+01   0.516957E-04  -0.354919E+02
   121   0.329466E+04   0.103435E+01   0.509934E-04  -0.360465E+02
   122   0.332796E+04   0.104265E+01   0.502824E-04  -0.365903E+02
   123   0.336134E+04   0.105049E+01   0.495635E-04  -0.371232E+02
   124   0.339479E+04   0.105794E+01   0.488376E-04  -0.376423E+02
   125   0.342825E+04   0.106493E+01   0.481054E-04  -0.381496E+02
   126   0.346178E+04   0.107152E+01   0.473677E-04  -0.386445E+02
   127   0.349532E+04   0.107758E+01   0.466254E-04  -0.391262E+02
   128   0.352887E+04   0.108326E+01   0.458792E-04  -0.395939E+02
   129   0.356248E+04   0.108839E+01   0.451300E-04  -0.400468E+02
   130   0.359611E+04   0.109299E+01   0.443786E-04  -0.404841E+02
   131   0.362974E+04   0.109719E+01   0.436258E-04  -0.409073E+02
   132   0.366344E+04   0.110086E+01   0.428721E-04  -0.413135E+02
   133   0.369708E+04   0.110407E+01   0.421182E-04  -0.417049E+02
   134   0.373072E+04   0.110682E+01   0.413647E-04  -0.420771E+02
   135   0.376436E+04   0.110903E+01   0.406121E-04  -0.424330E+02
   136   0.379786E+04   0.111070E+01   0.398611E-04  -0.427690E+02
   137   0.383136E+04   0.111191E+01   0.391122E-04  -0.430873E+02
   138   0.386479E+04   0.111259E+01   0.383661E-04  -0.433864E+02
   139   0.389800E+04   0.111289E+01   0.376234E-04  -0.436657E+02
   140   0.393129E+04   0.111257E+01   0.368846E-04  -0.439260E+02
   141   0.396436E+04   0.111173E+01   0.361503E-04  -0.441649E+02
   142   0.399743E+04   0.111042E+01   0.354212E-04  -0.443832E+02
   143   0.403043E+04   0.110866E+01   0.346977E-04  -0.445811E+02
   144   0.406321E+04   0.110636E+01   0.339806E-04  -0.447577E+02
   145   0.409585E+04   0.110368E+01   0.332704E-04  -0.449123E+02
   146   0.412856E+04   0.110040E+01   0.325678E-04  -0.450451E+02
   147   0.416090E+04   0.109673E+01   0.318732E-04  -0.451544E+02
   148   0.419309E+04   0.109253E+01   0.311873E-04  -0.452419E+02
   149   0.422521E+04   0.108788E+01   0.305108E-04  -0.453059E+02
   150   0.425704E+04   0.108285E+01   0.298441E-04  -0.453445E+02
   151   0.428872E+04   0.107736E+01   0.291878E-04  -0.453604E+02
   152   0.432010E+04   0.107135E+01   0.285422E-04  -0.453524E+02
   153   0.435133E+04   0.106496E+01   0.279074E-04  -0.453180E+02
   154   0.438234E+04   0.105819E+01   0.272836E-04  -0.452595E+02
   155   0.441312E+04   0.105104E+01   0.266709E-04  -0.451763E+02
   156   0.444353E+04   0.104352E+01   0.260695E-04  -0.450682E+02
   157   0.447385E+04   0.103563E+01   0.254796E-04  -0.449337E+02
   158   0.450387E+04   0.102743E+01   0.249014E-04  -0.447737E+02
   159   0.453358E+04   0.101879E+01   0.243349E-04  -0.445881E+02
   160   0.456306E+04   0.100986E+01   0.237804E-04  -0.443754E+02
   161   0.459231E+04   0.100070E+01   0.232380E-04  -0.441371E+02
   162   0.462125E+04   0.991172E+00   0.227079E-04  -0.438732E+02
   163   0.465002E+04   0.981351E+00   0.221903E-04  -0.435822E+02
   164   0.467833E+04   0.971313E+00   0.216852E-04  -0.432655E+02
   165   0.470648E+04   0.960982E+00   0.211930E-04  -0.429210E+02
   166   0.473431E+04   0.950510E+00   0.207137E-04  -0.425500E+02
   167   0.476190E+04   0.939674E+00   0.202475E-04  -0.421534E+02
   168   0.478902E+04   0.928847E+00   0.197946E-04  -0.417290E+02
   169   0.481582E+04   0.917733E+00   0.193551E-04  -0.412766E+02
   170   0.484231E+04   0.906554E+00   0.189292E-04  -0.407978E+02
   171   0.486832E+04   0.895314E+00   0.185171E-04  -0.402903E+02
   172   0.489393E+04   0.883937E+00   0.181189E-04  -0.397557E+02
   173   0.491907E+04   0.872426E+00   0.177348E-04  -0.391939E+02
   174   0.494389E+04   0.861078E+00   0.173650E-04  -0.386048E+02
   175   0.496830E+04   0.849597E+00   0.170096E-04  -0.379879E+02
   176   0.499216E+04   0.838208E+00   0.166686E-04  -0.373430E+02
   177   0.501562E+04   0.826837E+00   0.163421E-04  -0.366716E+02
   178   0.503861E+04   0.815708E+00   0.160295E-04  -0.359724E+02
   179   0.506112E+04   0.804526E+00   0.157307E-04  -0.352453E+02
   180   0.508330E+04   0.793514E+00   0.154455E-04  -0.344919E+02
   181   0.510494E+04   0.782675E+00   0.151735E-04  -0.337122E+02
   182   0.512611E+04   0.772084E+00   0.149145E-04  -0.329047E+02
