#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.126217E+04   0.157558E+01   0.909949E-03   0.157558E+01   0.736550E-01  -0.266262E-06   0.909949E-03  -0.266262E-06   0.145667E-06
    44   0.128018E+04   0.147264E+01   0.891293E-03   0.147264E+01   0.794943E-01  -0.250889E-06   0.891293E-03  -0.250889E-06   0.145320E-06
    45   0.129856E+04   0.135852E+01   0.873190E-03   0.135852E+01   0.856134E-01  -0.264335E-06   0.873190E-03  -0.264335E-06   0.144945E-06
    46   0.131721E+04   0.123191E+01   0.855588E-03   0.123191E+01   0.920158E-01  -0.311047E-06   0.855588E-03  -0.311047E-06   0.144543E-06
    47   0.133598E+04   0.109317E+01   0.838465E-03   0.109317E+01   0.986982E-01  -0.381214E-06   0.838465E-03  -0.381214E-06   0.144115E-06
    48   0.135481E+04   0.945759E+00   0.821806E-03   0.945759E+00   0.105663E+00  -0.461458E-06   0.821806E-03  -0.461458E-06   0.143664E-06
    49   0.137377E+04   0.792513E+00   0.805597E-03   0.792513E+00   0.112889E+00  -0.538404E-06   0.805597E-03  -0.538404E-06   0.143191E-06
    50   0.139309E+04   0.629503E+00   0.789822E-03   0.629503E+00   0.120350E+00  -0.598673E-06   0.789822E-03  -0.598673E-06   0.142697E-06
    51   0.141255E+04   0.451593E+00   0.774478E-03   0.451593E+00   0.128016E+00  -0.632078E-06   0.774478E-03  -0.632078E-06   0.142184E-06
    52   0.143237E+04   0.254472E+00   0.759608E-03   0.254472E+00   0.135975E+00  -0.641192E-06   0.759608E-03  -0.641192E-06   0.141654E-06
    53   0.145219E+04   0.358845E-01   0.745265E-03   0.358845E-01   0.144378E+00  -0.631777E-06   0.745265E-03  -0.631777E-06   0.141107E-06
    54   0.147191E+04  -0.198456E+00   0.731505E-03  -0.198456E+00   0.153222E+00  -0.609593E-06   0.731505E-03  -0.609593E-06   0.140546E-06
    55   0.149177E+04  -0.442723E+00   0.718381E-03  -0.442723E+00   0.162489E+00  -0.580404E-06   0.718381E-03  -0.580404E-06   0.139971E-06
    56   0.151199E+04  -0.697549E+00   0.705911E-03  -0.697549E+00   0.172037E+00  -0.549773E-06   0.705911E-03  -0.549773E-06   0.139384E-06
    57   0.153249E+04  -0.963113E+00   0.693972E-03  -0.963113E+00   0.181753E+00  -0.522475E-06   0.693972E-03  -0.522475E-06   0.138785E-06
    58   0.155328E+04  -0.124071E+01   0.682407E-03  -0.124071E+01   0.191638E+00  -0.503088E-06   0.682407E-03  -0.503088E-06   0.138174E-06
    59   0.157422E+04  -0.153167E+01   0.671056E-03  -0.153167E+01   0.201722E+00  -0.496188E-06   0.671056E-03  -0.496188E-06   0.137551E-06
    60   0.159531E+04  -0.183587E+01   0.659761E-03  -0.183587E+01   0.212050E+00  -0.506353E-06   0.659761E-03  -0.506353E-06   0.136916E-06
    61   0.161685E+04  -0.215292E+01   0.648414E-03  -0.215292E+01   0.222712E+00  -0.536113E-06   0.648414E-03  -0.536113E-06   0.136268E-06
    62   0.163827E+04  -0.248365E+01   0.637118E-03  -0.248365E+01   0.233703E+00  -0.579803E-06   0.637118E-03  -0.579803E-06   0.135613E-06
    63   0.165982E+04  -0.282884E+01   0.626024E-03  -0.282884E+01   0.244993E+00  -0.629715E-06   0.626024E-03  -0.629715E-06   0.134954E-06
    64   0.168180E+04  -0.318950E+01   0.615285E-03  -0.318950E+01   0.256607E+00  -0.678136E-06   0.615285E-03  -0.678136E-06   0.134296E-06
    65   0.170386E+04  -0.356603E+01   0.605055E-03  -0.356603E+01   0.268530E+00  -0.717357E-06   0.605055E-03  -0.717357E-06   0.133643E-06
    66   0.172631E+04  -0.395645E+01   0.595436E-03  -0.395645E+01   0.280703E+00  -0.741539E-06   0.595436E-03  -0.741539E-06   0.132998E-06
    67   0.174896E+04  -0.435820E+01   0.586338E-03  -0.435820E+01   0.293117E+00  -0.752341E-06   0.586338E-03  -0.752341E-06   0.132358E-06
    68   0.177206E+04  -0.476991E+01   0.577618E-03  -0.476991E+01   0.305799E+00  -0.753292E-06   0.577618E-03  -0.753292E-06   0.131716E-06
    69   0.179534E+04  -0.519015E+01   0.569138E-03  -0.519015E+01   0.318697E+00  -0.747921E-06   0.569138E-03  -0.747921E-06   0.131067E-06
    70   0.181889E+04  -0.562087E+01   0.560756E-03  -0.562087E+01   0.331837E+00  -0.739761E-06   0.560756E-03  -0.739761E-06   0.130405E-06
    71   0.184254E+04  -0.606464E+01   0.552367E-03  -0.606464E+01   0.345199E+00  -0.731871E-06   0.552367E-03  -0.731871E-06   0.129727E-06
    72   0.186631E+04  -0.652250E+01   0.544009E-03  -0.652250E+01   0.358758E+00  -0.725437E-06   0.544009E-03  -0.725437E-06   0.129034E-06
    73   0.189018E+04  -0.699460E+01   0.535758E-03  -0.699460E+01   0.372486E+00  -0.721175E-06   0.535758E-03  -0.721175E-06   0.128331E-06
    74   0.191419E+04  -0.747961E+01   0.527687E-03  -0.747961E+01   0.386377E+00  -0.719802E-06   0.527687E-03  -0.719802E-06   0.127623E-06
    75   0.193848E+04  -0.797558E+01   0.519870E-03  -0.797558E+01   0.400449E+00  -0.722033E-06   0.519870E-03  -0.722033E-06   0.126912E-06
    76   0.196300E+04  -0.848155E+01   0.512361E-03  -0.848155E+01   0.414706E+00  -0.728100E-06   0.512361E-03  -0.728100E-06   0.126204E-06
    77   0.198782E+04  -0.899736E+01   0.505125E-03  -0.899736E+01   0.429140E+00  -0.736284E-06   0.505125E-03  -0.736284E-06   0.125497E-06
    78   0.201298E+04  -0.952458E+01   0.498105E-03  -0.952458E+01   0.443777E+00  -0.744384E-06   0.498105E-03  -0.744384E-06   0.124792E-06
    79   0.203830E+04  -0.100596E+02   0.491245E-03  -0.100596E+02   0.458560E+00  -0.750197E-06   0.491245E-03  -0.750197E-06   0.124089E-06
    80   0.206391E+04  -0.106039E+02   0.484489E-03  -0.106039E+02   0.473493E+00  -0.751520E-06   0.484489E-03  -0.751520E-06   0.123387E-06
    81   0.208971E+04  -0.111581E+02   0.477795E-03  -0.111581E+02   0.488523E+00  -0.747225E-06   0.477795E-03  -0.747225E-06   0.122686E-06
    82   0.211578E+04  -0.117216E+02   0.471174E-03  -0.117216E+02   0.503671E+00  -0.740479E-06   0.471174E-03  -0.740479E-06   0.121987E-06
    83   0.214204E+04  -0.122941E+02   0.464655E-03  -0.122941E+02   0.518907E+00  -0.735527E-06   0.464655E-03  -0.735527E-06   0.121288E-06
    84   0.216859E+04  -0.128739E+02   0.458264E-03  -0.128739E+02   0.534228E+00  -0.736612E-06   0.458264E-03  -0.736612E-06   0.120590E-06
    85   0.219527E+04  -0.134624E+02   0.452028E-03  -0.134624E+02   0.549604E+00  -0.747977E-06   0.452028E-03  -0.747977E-06   0.119892E-06
    86   0.222216E+04  -0.140587E+02   0.445967E-03  -0.140587E+02   0.565046E+00  -0.772421E-06   0.445967E-03  -0.772421E-06   0.119196E-06
