#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1144   0.121540E+04  -0.228422E+02  -0.504639E-06  -0.228422E+02   0.115963E+02   0.647095E-07  -0.504639E-06   0.647095E-07   0.497667E-08
  1145   0.121299E+04  -0.218574E+02  -0.497786E-06  -0.218574E+02   0.116157E+02   0.592513E-07  -0.497786E-06   0.592513E-07   0.496830E-08
  1146   0.121044E+04  -0.208798E+02  -0.490746E-06  -0.208798E+02   0.116394E+02   0.538102E-07  -0.490746E-06   0.538102E-07   0.495995E-08
  1147   0.120782E+04  -0.199104E+02  -0.483521E-06  -0.199104E+02   0.116690E+02   0.483868E-07  -0.483521E-06   0.483868E-07   0.495162E-08
  1148   0.120506E+04  -0.189490E+02  -0.476112E-06  -0.189490E+02   0.117028E+02   0.429817E-07  -0.476112E-06   0.429817E-07   0.494330E-08
  1149   0.120230E+04  -0.179972E+02  -0.468523E-06  -0.179972E+02   0.117425E+02   0.375955E-07  -0.468523E-06   0.375955E-07   0.493501E-08
  1150   0.119941E+04  -0.170542E+02  -0.460755E-06  -0.170542E+02   0.117872E+02   0.322286E-07  -0.460755E-06   0.322286E-07   0.492674E-08
  1151   0.119652E+04  -0.161209E+02  -0.452811E-06  -0.161209E+02   0.118368E+02   0.268817E-07  -0.452811E-06   0.268817E-07   0.491849E-08
  1152   0.119342E+04  -0.151979E+02  -0.444693E-06  -0.151979E+02   0.118914E+02   0.215553E-07  -0.444693E-06   0.215553E-07   0.491025E-08
  1153   0.119041E+04  -0.142858E+02  -0.436402E-06  -0.142858E+02   0.119517E+02   0.162496E-07  -0.436402E-06   0.162496E-07   0.490204E-08
  1154   0.118725E+04  -0.133830E+02  -0.427943E-06  -0.133830E+02   0.120169E+02   0.109652E-07  -0.427943E-06   0.109652E-07   0.489384E-08
  1155   0.118403E+04  -0.124918E+02  -0.419316E-06  -0.124918E+02   0.120870E+02   0.570245E-08  -0.419316E-06   0.570245E-08   0.488567E-08
  1156   0.118067E+04  -0.116128E+02  -0.410524E-06  -0.116128E+02   0.121612E+02   0.461715E-09  -0.410524E-06   0.461715E-09   0.487751E-08
  1157   0.117725E+04  -0.107443E+02  -0.401570E-06  -0.107443E+02   0.122403E+02  -0.475657E-08  -0.401570E-06  -0.475657E-08   0.486937E-08
  1158   0.117384E+04  -0.988855E+01  -0.392455E-06  -0.988855E+01   0.123249E+02  -0.995198E-08  -0.392455E-06  -0.995198E-08   0.486125E-08
  1159   0.117036E+04  -0.904470E+01  -0.383183E-06  -0.904470E+01   0.124136E+02  -0.151241E-07  -0.383183E-06  -0.151241E-07   0.485315E-08
  1160   0.116667E+04  -0.821486E+01  -0.373754E-06  -0.821486E+01   0.125078E+02  -0.202726E-07  -0.373754E-06  -0.202726E-07   0.484507E-08
  1161   0.116307E+04  -0.739674E+01  -0.364173E-06  -0.739674E+01   0.126060E+02  -0.253970E-07  -0.364173E-06  -0.253970E-07   0.483701E-08
  1162   0.115933E+04  -0.659247E+01  -0.354440E-06  -0.659247E+01   0.127090E+02  -0.304968E-07  -0.354440E-06  -0.304968E-07   0.482896E-08
  1163   0.115553E+04  -0.580196E+01  -0.344559E-06  -0.580196E+01   0.128166E+02  -0.355718E-07  -0.344559E-06  -0.355718E-07   0.482094E-08
  1164   0.115174E+04  -0.502512E+01  -0.334531E-06  -0.502512E+01   0.129290E+02  -0.406215E-07  -0.334531E-06  -0.406215E-07   0.481293E-08
  1165   0.114782E+04  -0.426185E+01  -0.324359E-06  -0.426185E+01   0.130452E+02  -0.456454E-07  -0.324359E-06  -0.456454E-07   0.480495E-08
  1166   0.114376E+04  -0.351356E+01  -0.314045E-06  -0.351356E+01   0.131661E+02  -0.506432E-07  -0.314045E-06  -0.506432E-07   0.479698E-08
  1167   0.113979E+04  -0.278016E+01  -0.303591E-06  -0.278016E+01   0.132909E+02  -0.556144E-07  -0.303591E-06  -0.556144E-07   0.478903E-08
  1168   0.113568E+04  -0.206080E+01  -0.293000E-06  -0.206080E+01   0.134203E+02  -0.605587E-07  -0.293000E-06  -0.605587E-07   0.478109E-08
  1169   0.113159E+04  -0.135839E+01  -0.282275E-06  -0.135839E+01   0.135535E+02  -0.654757E-07  -0.282275E-06  -0.654757E-07   0.477318E-08
  1170   0.112743E+04  -0.669840E+00  -0.271417E-06  -0.669840E+00   0.136905E+02  -0.703649E-07  -0.271417E-06  -0.703649E-07   0.476528E-08
  1171   0.112315E+04   0.195155E-02  -0.260428E-06   0.195155E-02   0.138320E+02  -0.752258E-07  -0.260428E-06  -0.752258E-07   0.475741E-08
  1172   0.111888E+04   0.657822E+00  -0.249311E-06   0.657822E+00   0.139773E+02  -0.800582E-07  -0.249311E-06  -0.800582E-07   0.474955E-08
  1173   0.111455E+04   0.129786E+01  -0.238069E-06   0.129786E+01   0.141263E+02  -0.848616E-07  -0.238069E-06  -0.848616E-07   0.474171E-08
  1174   0.111016E+04   0.192104E+01  -0.226703E-06   0.192104E+01   0.142783E+02  -0.896356E-07  -0.226703E-06  -0.896356E-07   0.473389E-08
  1175   0.110571E+04   0.252753E+01  -0.215216E-06   0.252753E+01   0.144340E+02  -0.943798E-07  -0.215216E-06  -0.943798E-07   0.472608E-08
  1176   0.110113E+04   0.311668E+01  -0.203610E-06   0.311668E+01   0.145934E+02  -0.990938E-07  -0.203610E-06  -0.990938E-07   0.471830E-08
  1177   0.109664E+04   0.368902E+01  -0.191888E-06   0.368902E+01   0.147571E+02  -0.103777E-06  -0.191888E-06  -0.103777E-06   0.471053E-08
  1178   0.109202E+04   0.424396E+01  -0.180052E-06   0.424396E+01   0.149230E+02  -0.108429E-06  -0.180052E-06  -0.108429E-06   0.470278E-08
  1179   0.108749E+04   0.478139E+01  -0.168103E-06   0.478139E+01   0.150940E+02  -0.113050E-06  -0.168103E-06  -0.113050E-06   0.469504E-08
  1180   0.108283E+04   0.530109E+01  -0.156045E-06   0.530109E+01   0.152678E+02  -0.117639E-06  -0.156045E-06  -0.117639E-06   0.468733E-08
  1181   0.107818E+04   0.580286E+01  -0.143880E-06   0.580286E+01   0.154437E+02  -0.122196E-06  -0.143880E-06  -0.122196E-06   0.467963E-08
  1182   0.107341E+04   0.628648E+01  -0.131610E-06   0.628648E+01   0.156231E+02  -0.126720E-06  -0.131610E-06  -0.126720E-06   0.467195E-08
  1183   0.106865E+04   0.675190E+01  -0.119237E-06   0.675190E+01   0.158052E+02  -0.131211E-06  -0.119237E-06  -0.131211E-06   0.466429E-08
  1184   0.106384E+04   0.719881E+01  -0.106763E-06   0.719881E+01   0.159894E+02  -0.135668E-06  -0.106763E-06  -0.135668E-06   0.465665E-08
  1185   0.105905E+04   0.762723E+01  -0.941921E-07   0.762723E+01   0.161778E+02  -0.140092E-06  -0.941921E-07  -0.140092E-06   0.464902E-08
  1186   0.105420E+04   0.803680E+01  -0.815249E-07   0.803680E+01   0.163681E+02  -0.144481E-06  -0.815249E-07  -0.144481E-06   0.464141E-08
  1187   0.104938E+04   0.842749E+01  -0.687642E-07   0.842749E+01   0.165612E+02  -0.148836E-06  -0.687642E-07  -0.148836E-06   0.463382E-08
  1188   0.104450E+04   0.879902E+01  -0.559124E-07   0.879902E+01   0.167561E+02  -0.153155E-06  -0.559124E-07  -0.153155E-06   0.462625E-08
  1189   0.103956E+04   0.915155E+01  -0.429716E-07   0.915155E+01   0.169536E+02  -0.157439E-06  -0.429716E-07  -0.157439E-06   0.461869E-08
  1190   0.103465E+04   0.948472E+01  -0.299444E-07   0.948472E+01   0.171531E+02  -0.161687E-06  -0.299444E-07  -0.161687E-06   0.461115E-08
  1191   0.102968E+04   0.979870E+01  -0.168328E-07   0.979870E+01   0.173551E+02  -0.165898E-06  -0.168328E-07  -0.165898E-06   0.460363E-08
  1192   0.102473E+04   0.100931E+02  -0.363933E-08   0.100931E+02   0.175589E+02  -0.170073E-06  -0.363933E-08  -0.170073E-06   0.459612E-08
  1193   0.101973E+04   0.103681E+02   0.963382E-08   0.103681E+02   0.177645E+02  -0.174211E-06   0.963382E-08  -0.174211E-06   0.458863E-08
  1194   0.101475E+04   0.106237E+02   0.229843E-07   0.106237E+02   0.179719E+02  -0.178311E-06   0.229843E-07  -0.178311E-06   0.458116E-08
  1195   0.100980E+04   0.108595E+02   0.364099E-07   0.108595E+02   0.181810E+02  -0.182373E-06   0.364099E-07  -0.182373E-06   0.457371E-08
  1196   0.100471E+04   0.110754E+02   0.499082E-07   0.110754E+02   0.183927E+02  -0.186396E-06   0.499082E-07  -0.186396E-06   0.456627E-08
  1197   0.999728E+03   0.112717E+02   0.634769E-07   0.112717E+02   0.186045E+02  -0.190381E-06   0.634769E-07  -0.190381E-06   0.455885E-08
  1198   0.994691E+03   0.114470E+02   0.771137E-07   0.114470E+02   0.188180E+02  -0.194327E-06   0.771137E-07  -0.194327E-06   0.455145E-08
  1199   0.989678E+03   0.116037E+02   0.908164E-07   0.116037E+02   0.190324E+02  -0.198233E-06   0.908164E-07  -0.198233E-06   0.454406E-08
  1200   0.984615E+03   0.117403E+02   0.104583E-06   0.117403E+02   0.192485E+02  -0.202098E-06   0.104583E-06  -0.202098E-06   0.453669E-08
  1201   0.979649E+03   0.118562E+02   0.118410E-06   0.118562E+02   0.194647E+02  -0.205924E-06   0.118410E-06  -0.205924E-06   0.452934E-08
  1202   0.974559E+03   0.119529E+02   0.132296E-06   0.119529E+02   0.196833E+02  -0.209709E-06   0.132296E-06  -0.209709E-06   0.452200E-08
  1203   0.969567E+03   0.120291E+02   0.146238E-06   0.120291E+02   0.199020E+02  -0.213453E-06   0.146238E-06  -0.213453E-06   0.451468E-08
  1204   0.964524E+03   0.120857E+02   0.160233E-06   0.120857E+02   0.201216E+02  -0.217157E-06   0.160233E-06  -0.217157E-06   0.450738E-08
  1205   0.959504E+03   0.121219E+02   0.174279E-06   0.121219E+02   0.203405E+02  -0.220819E-06   0.174279E-06  -0.220819E-06   0.450009E-08
  1206   0.954508E+03   0.121387E+02   0.188373E-06   0.121387E+02   0.205612E+02  -0.224441E-06   0.188373E-06  -0.224441E-06   0.449282E-08
  1207   0.949608E+03   0.121347E+02   0.202513E-06   0.121347E+02   0.207819E+02  -0.228022E-06   0.202513E-06  -0.228022E-06   0.448557E-08
  1208   0.944657E+03   0.121122E+02   0.216695E-06   0.121122E+02   0.210036E+02  -0.231561E-06   0.216695E-06  -0.231561E-06   0.447833E-08
  1209   0.939655E+03   0.120698E+02   0.230917E-06   0.120698E+02   0.212247E+02  -0.235059E-06   0.230917E-06  -0.235059E-06   0.447111E-08
  1210   0.934749E+03   0.120069E+02   0.245177E-06   0.120069E+02   0.214459E+02  -0.238516E-06   0.245177E-06  -0.238516E-06   0.446390E-08
  1211   0.929791E+03   0.119244E+02   0.259472E-06   0.119244E+02   0.216681E+02  -0.241931E-06   0.259472E-06  -0.241931E-06   0.445671E-08
  1212   0.924930E+03   0.118231E+02   0.273799E-06   0.118231E+02   0.218897E+02  -0.245304E-06   0.273799E-06  -0.245304E-06   0.444954E-08
  1213   0.920016E+03   0.117032E+02   0.288155E-06   0.117032E+02   0.221107E+02  -0.248636E-06   0.288155E-06  -0.248636E-06   0.444238E-08
  1214   0.915198E+03   0.115632E+02   0.302539E-06   0.115632E+02   0.223326E+02  -0.251926E-06   0.302539E-06  -0.251926E-06   0.443524E-08
  1215   0.910401E+03   0.114040E+02   0.316947E-06   0.114040E+02   0.225532E+02  -0.255173E-06   0.316947E-06  -0.255173E-06   0.442812E-08
  1216   0.905626E+03   0.112257E+02   0.331376E-06   0.112257E+02   0.227741E+02  -0.258379E-06   0.331376E-06  -0.258379E-06   0.442101E-08
  1217   0.900724E+03   0.110292E+02   0.345825E-06   0.110292E+02   0.229943E+02  -0.261543E-06   0.345825E-06  -0.261543E-06   0.441392E-08
  1218   0.895991E+03   0.108131E+02   0.360290E-06   0.108131E+02   0.232148E+02  -0.264664E-06   0.360290E-06  -0.264664E-06   0.440684E-08
  1219   0.891205E+03   0.105798E+02   0.374769E-06   0.105798E+02   0.234332E+02  -0.267743E-06   0.374769E-06  -0.267743E-06   0.439978E-08
  1220   0.886514E+03   0.103270E+02   0.389259E-06   0.103270E+02   0.236511E+02  -0.270779E-06   0.389259E-06  -0.270779E-06   0.439273E-08
  1221   0.881843E+03   0.100565E+02   0.403758E-06   0.100565E+02   0.238677E+02  -0.273773E-06   0.403758E-06  -0.273773E-06   0.438570E-08
  1222   0.877193E+03   0.976676E+01   0.418262E-06   0.976676E+01   0.240845E+02  -0.276724E-06   0.418262E-06  -0.276724E-06   0.437869E-08
  1223   0.872563E+03   0.946098E+01   0.432770E-06   0.946098E+01   0.243001E+02  -0.279633E-06   0.432770E-06  -0.279633E-06   0.437169E-08
  1224   0.867952E+03   0.913552E+01   0.447278E-06   0.913552E+01   0.245129E+02  -0.282498E-06   0.447278E-06  -0.282498E-06   0.436471E-08
  1225   0.863436E+03   0.879272E+01   0.461785E-06   0.879272E+01   0.247259E+02  -0.285320E-06   0.461785E-06  -0.285320E-06   0.435774E-08
  1226   0.858939E+03   0.843343E+01   0.476286E-06   0.843343E+01   0.249369E+02  -0.288099E-06   0.476286E-06  -0.288099E-06   0.435079E-08
  1227   0.854537E+03   0.805628E+01   0.490781E-06   0.805628E+01   0.251467E+02  -0.290835E-06   0.490781E-06  -0.290835E-06   0.434386E-08
  1228   0.850079E+03   0.766286E+01   0.505265E-06   0.766286E+01   0.253552E+02  -0.293527E-06   0.505265E-06  -0.293527E-06   0.433694E-08
  1229   0.845714E+03   0.725179E+01   0.519737E-06   0.725179E+01   0.255617E+02  -0.296176E-06   0.519737E-06  -0.296176E-06   0.433003E-08
  1230   0.841220E+03   0.682542E+01   0.534194E-06   0.682542E+01   0.257662E+02  -0.298782E-06   0.534194E-06  -0.298782E-06   0.432314E-08
  1231   0.836893E+03   0.638238E+01   0.548633E-06   0.638238E+01   0.259695E+02  -0.301343E-06   0.548633E-06  -0.301343E-06   0.431627E-08
  1232   0.832585E+03   0.592425E+01   0.563052E-06   0.592425E+01   0.261701E+02  -0.303861E-06   0.563052E-06  -0.303861E-06   0.430941E-08
  1233   0.828444E+03   0.544893E+01   0.577447E-06   0.544893E+01   0.263701E+02  -0.306335E-06   0.577447E-06  -0.306335E-06   0.430256E-08
  1234   0.824247E+03   0.495948E+01   0.591817E-06   0.495948E+01   0.265667E+02  -0.308765E-06   0.591817E-06  -0.308765E-06   0.429573E-08
  1235   0.820365E+03   0.445455E+01   0.606159E-06   0.445455E+01   0.267621E+02  -0.311150E-06   0.606159E-06  -0.311150E-06   0.428892E-08
  1236   0.816352E+03   0.393497E+01   0.620469E-06   0.393497E+01   0.269541E+02  -0.313492E-06   0.620469E-06  -0.313492E-06   0.428212E-08
  1237   0.812357E+03   0.340013E+01   0.634746E-06   0.340013E+01   0.271441E+02  -0.315789E-06   0.634746E-06  -0.315789E-06   0.427534E-08
  1238   0.808453E+03   0.285087E+01   0.648986E-06   0.285087E+01   0.273321E+02  -0.318042E-06   0.648986E-06  -0.318042E-06   0.426857E-08
  1239   0.804567E+03   0.228730E+01   0.663188E-06   0.228730E+01   0.275167E+02  -0.320250E-06   0.663188E-06  -0.320250E-06   0.426181E-08
  1240   0.800699E+03   0.171102E+01   0.677348E-06   0.171102E+01   0.276993E+02  -0.322413E-06   0.677348E-06  -0.322413E-06   0.425507E-08
  1241   0.796995E+03   0.112066E+01   0.691464E-06   0.112066E+01   0.278785E+02  -0.324532E-06   0.691464E-06  -0.324532E-06   0.424835E-08
  1242   0.793235E+03   0.518553E+00   0.705533E-06   0.518553E+00   0.280565E+02  -0.326606E-06   0.705533E-06  -0.326606E-06   0.424164E-08
  1243   0.789565E+03  -0.983836E-01   0.719553E-06  -0.983836E-01   0.282296E+02  -0.328634E-06   0.719553E-06  -0.328634E-06   0.423494E-08
  1244   0.785986E+03  -0.726249E+00   0.733521E-06  -0.726249E+00   0.284015E+02  -0.330618E-06   0.733521E-06  -0.330618E-06   0.422826E-08
  1245   0.782498E+03  -0.136657E+01   0.747434E-06  -0.136657E+01   0.285700E+02  -0.332556E-06   0.747434E-06  -0.332556E-06   0.422160E-08
  1246   0.779025E+03  -0.201752E+01   0.761290E-06  -0.201752E+01   0.287343E+02  -0.334449E-06   0.761290E-06  -0.334449E-06   0.421494E-08
  1247   0.775569E+03  -0.268056E+01   0.775085E-06  -0.268056E+01   0.288960E+02  -0.336297E-06   0.775085E-06  -0.336297E-06   0.420831E-08
  1248   0.772203E+03  -0.335490E+01   0.788818E-06  -0.335490E+01   0.290543E+02  -0.338099E-06   0.788818E-06  -0.338099E-06   0.420168E-08
  1249   0.768926E+03  -0.403954E+01   0.802486E-06  -0.403954E+01   0.292106E+02  -0.339856E-06   0.802486E-06  -0.339856E-06   0.419508E-08
  1250   0.765740E+03  -0.473452E+01   0.816086E-06  -0.473452E+01   0.293621E+02  -0.341566E-06   0.816086E-06  -0.341566E-06   0.418848E-08
  1251   0.762568E+03  -0.543959E+01   0.829617E-06  -0.543959E+01   0.295095E+02  -0.343231E-06   0.829617E-06  -0.343231E-06   0.418190E-08
  1252   0.759560E+03  -0.615450E+01   0.843079E-06  -0.615450E+01   0.296549E+02  -0.344850E-06   0.843079E-06  -0.344850E-06   0.417534E-08
  1253   0.756492E+03  -0.687854E+01   0.856475E-06  -0.687854E+01   0.297956E+02  -0.346423E-06   0.856475E-06  -0.346423E-06   0.416879E-08
  1254   0.753512E+03  -0.761162E+01   0.869809E-06  -0.761162E+01   0.299322E+02  -0.347951E-06   0.869809E-06  -0.347951E-06   0.416225E-08
  1255   0.750620E+03  -0.835355E+01   0.883081E-06  -0.835355E+01   0.300662E+02  -0.349433E-06   0.883081E-06  -0.349433E-06   0.415573E-08
  1256   0.747890E+03  -0.910371E+01   0.896295E-06  -0.910371E+01   0.301955E+02  -0.350870E-06   0.896295E-06  -0.350870E-06   0.414922E-08
  1257   0.745172E+03  -0.986202E+01   0.909452E-06  -0.986202E+01   0.303215E+02  -0.352262E-06   0.909452E-06  -0.352262E-06   0.414273E-08
  1258   0.742466E+03  -0.106280E+02   0.922556E-06  -0.106280E+02   0.304429E+02  -0.353608E-06   0.922556E-06  -0.353608E-06   0.413625E-08
  1259   0.739846E+03  -0.114014E+02   0.935609E-06  -0.114014E+02   0.305610E+02  -0.354909E-06   0.935609E-06  -0.354909E-06   0.412978E-08
  1260   0.737311E+03  -0.121819E+02   0.948612E-06  -0.121819E+02   0.306745E+02  -0.356165E-06   0.948612E-06  -0.356165E-06   0.412333E-08
  1261   0.734862E+03  -0.129691E+02   0.961570E-06  -0.129691E+02   0.307849E+02  -0.357377E-06   0.961570E-06  -0.357377E-06   0.411689E-08
  1262   0.732497E+03  -0.137625E+02   0.974483E-06  -0.137625E+02   0.308914E+02  -0.358543E-06   0.974483E-06  -0.358543E-06   0.411046E-08
  1263   0.730217E+03  -0.145621E+02   0.987354E-06  -0.145621E+02   0.309933E+02  -0.359665E-06   0.987354E-06  -0.359665E-06   0.410405E-08
  1264   0.727946E+03  -0.153676E+02   0.100019E-05  -0.153676E+02   0.310915E+02  -0.360742E-06   0.100019E-05  -0.360742E-06   0.409766E-08
  1265   0.725832E+03  -0.161785E+02   0.101298E-05  -0.161785E+02   0.311851E+02  -0.361774E-06   0.101298E-05  -0.361774E-06   0.409127E-08
  1266   0.723727E+03  -0.169942E+02   0.102574E-05  -0.169942E+02   0.312750E+02  -0.362762E-06   0.102574E-05  -0.362762E-06   0.408490E-08
  1267   0.721704E+03  -0.178147E+02   0.103847E-05  -0.178147E+02   0.313596E+02  -0.363706E-06   0.103847E-05  -0.363706E-06   0.407855E-08
  1268   0.719771E+03  -0.186397E+02   0.105117E-05  -0.186397E+02   0.314420E+02  -0.364605E-06   0.105117E-05  -0.364605E-06   0.407221E-08
  1269   0.717926E+03  -0.194682E+02   0.106384E-05  -0.194682E+02   0.315178E+02  -0.365461E-06   0.106384E-05  -0.365461E-06   0.406588E-08
  1270   0.716133E+03  -0.203013E+02   0.107648E-05  -0.203013E+02   0.315899E+02  -0.366272E-06   0.107648E-05  -0.366272E-06   0.405956E-08
  1271   0.714428E+03  -0.211371E+02   0.108911E-05  -0.211371E+02   0.316584E+02  -0.367039E-06   0.108911E-05  -0.367039E-06   0.405326E-08
  1272   0.712781E+03  -0.219757E+02   0.110171E-05  -0.219757E+02   0.317226E+02  -0.367762E-06   0.110171E-05  -0.367762E-06   0.404697E-08
  1273   0.711191E+03  -0.228170E+02   0.111430E-05  -0.228170E+02   0.317817E+02  -0.368442E-06   0.111430E-05  -0.368442E-06   0.404070E-08
  1274   0.709688E+03  -0.236603E+02   0.112687E-05  -0.236603E+02   0.318357E+02  -0.369077E-06   0.112687E-05  -0.369077E-06   0.403444E-08
  1275   0.708256E+03  -0.245048E+02   0.113942E-05  -0.245048E+02   0.318863E+02  -0.369669E-06   0.113942E-05  -0.369669E-06   0.402819E-08
  1276   0.706887E+03  -0.253512E+02   0.115197E-05  -0.253512E+02   0.319326E+02  -0.370218E-06   0.115197E-05  -0.370218E-06   0.402195E-08
  1277   0.705597E+03  -0.261981E+02   0.116451E-05  -0.261981E+02   0.319746E+02  -0.370723E-06   0.116451E-05  -0.370723E-06   0.401573E-08
  1278   0.704376E+03  -0.270461E+02   0.117704E-05  -0.270461E+02   0.320118E+02  -0.371185E-06   0.117704E-05  -0.371185E-06   0.400952E-08
  1279   0.703233E+03  -0.278937E+02   0.118957E-05  -0.278937E+02   0.320440E+02  -0.371604E-06   0.118957E-05  -0.371604E-06   0.400333E-08
  1280   0.702166E+03  -0.287423E+02   0.120210E-05  -0.287423E+02   0.320728E+02  -0.371979E-06   0.120210E-05  -0.371979E-06   0.399715E-08
  1281   0.701167E+03  -0.295891E+02   0.121463E-05  -0.295891E+02   0.320968E+02  -0.372312E-06   0.121463E-05  -0.372312E-06   0.399098E-08
  1282   0.700244E+03  -0.304354E+02   0.122716E-05  -0.304354E+02   0.321159E+02  -0.372601E-06   0.122716E-05  -0.372601E-06   0.398482E-08
  1283   0.699390E+03  -0.312804E+02   0.123970E-05  -0.312804E+02   0.321310E+02  -0.372848E-06   0.123970E-05  -0.372848E-06   0.397868E-08
  1284   0.698609E+03  -0.321242E+02   0.125225E-05  -0.321242E+02   0.321413E+02  -0.373052E-06   0.125225E-05  -0.373052E-06   0.397255E-08
  1285   0.697889E+03  -0.329653E+02   0.126481E-05  -0.329653E+02   0.321476E+02  -0.373213E-06   0.126481E-05  -0.373213E-06   0.396643E-08
  1286   0.697242E+03  -0.338043E+02   0.127738E-05  -0.338043E+02   0.321483E+02  -0.373332E-06   0.127738E-05  -0.373332E-06   0.396033E-08
  1287   0.696668E+03  -0.346397E+02   0.128997E-05  -0.346397E+02   0.321452E+02  -0.373408E-06   0.128997E-05  -0.373408E-06   0.395424E-08
  1288   0.696168E+03  -0.354730E+02   0.130257E-05  -0.354730E+02   0.321373E+02  -0.373442E-06   0.130257E-05  -0.373442E-06   0.394816E-08
  1289   0.695732E+03  -0.363012E+02   0.131520E-05  -0.363012E+02   0.321256E+02  -0.373433E-06   0.131520E-05  -0.373433E-06   0.394210E-08
  1290   0.695362E+03  -0.371265E+02   0.132785E-05  -0.371265E+02   0.321084E+02  -0.373382E-06   0.132785E-05  -0.373382E-06   0.393604E-08
  1291   0.695062E+03  -0.379474E+02   0.134052E-05  -0.379474E+02   0.320874E+02  -0.373290E-06   0.134052E-05  -0.373290E-06   0.393000E-08
  1292   0.694827E+03  -0.387639E+02   0.135323E-05  -0.387639E+02   0.320604E+02  -0.373155E-06   0.135323E-05  -0.373155E-06   0.392398E-08
  1293   0.694655E+03  -0.395759E+02   0.136596E-05  -0.395759E+02   0.320310E+02  -0.372978E-06   0.136596E-05  -0.372978E-06   0.391796E-08
  1294   0.694560E+03  -0.403797E+02   0.137873E-05  -0.403797E+02   0.319963E+02  -0.372759E-06   0.137873E-05  -0.372759E-06   0.391196E-08
  1295   0.694521E+03  -0.411797E+02   0.139153E-05  -0.411797E+02   0.319572E+02  -0.372499E-06   0.139153E-05  -0.372499E-06   0.390597E-08
  1296   0.694543E+03  -0.419715E+02   0.140436E-05  -0.419715E+02   0.319143E+02  -0.372197E-06   0.140436E-05  -0.372197E-06   0.389999E-08
  1297   0.694635E+03  -0.427579E+02   0.141724E-05  -0.427579E+02   0.318669E+02  -0.371854E-06   0.141724E-05  -0.371854E-06   0.389403E-08
  1298   0.694787E+03  -0.435368E+02   0.143016E-05  -0.435368E+02   0.318151E+02  -0.371469E-06   0.143016E-05  -0.371469E-06   0.388808E-08
  1299   0.694993E+03  -0.443089E+02   0.144312E-05  -0.443089E+02   0.317589E+02  -0.371043E-06   0.144312E-05  -0.371043E-06   0.388214E-08
  1300   0.695273E+03  -0.450726E+02   0.145613E-05  -0.450726E+02   0.316976E+02  -0.370575E-06   0.145613E-05  -0.370575E-06   0.387621E-08
  1301   0.695614E+03  -0.458279E+02   0.146919E-05  -0.458279E+02   0.316335E+02  -0.370067E-06   0.146919E-05  -0.370067E-06   0.387029E-08
  1302   0.696006E+03  -0.465741E+02   0.148230E-05  -0.465741E+02   0.315642E+02  -0.369517E-06   0.148230E-05  -0.369517E-06   0.386439E-08
  1303   0.696457E+03  -0.473129E+02   0.149544E-05  -0.473129E+02   0.314907E+02  -0.368927E-06   0.149544E-05  -0.368927E-06   0.385850E-08
  1304   0.696968E+03  -0.480420E+02   0.150862E-05  -0.480420E+02   0.314136E+02  -0.368297E-06   0.150862E-05  -0.368297E-06   0.385262E-08
  1305   0.697537E+03  -0.487631E+02   0.152183E-05  -0.487631E+02   0.313315E+02  -0.367627E-06   0.152183E-05  -0.367627E-06   0.384676E-08
  1306   0.698149E+03  -0.494731E+02   0.153506E-05  -0.494731E+02   0.312466E+02  -0.366917E-06   0.153506E-05  -0.366917E-06   0.384090E-08
  1307   0.698835E+03  -0.501730E+02   0.154831E-05  -0.501730E+02   0.311568E+02  -0.366168E-06   0.154831E-05  -0.366168E-06   0.383506E-08
  1308   0.699571E+03  -0.508650E+02   0.156158E-05  -0.508650E+02   0.310628E+02  -0.365380E-06   0.156158E-05  -0.365380E-06   0.382923E-08
  1309   0.700349E+03  -0.515448E+02   0.157486E-05  -0.515448E+02   0.309639E+02  -0.364553E-06   0.157486E-05  -0.364553E-06   0.382341E-08
  1310   0.701192E+03  -0.522154E+02   0.158815E-05  -0.522154E+02   0.308623E+02  -0.363688E-06   0.158815E-05  -0.363688E-06   0.381761E-08
  1311   0.702078E+03  -0.528747E+02   0.160144E-05  -0.528747E+02   0.307565E+02  -0.362784E-06   0.160144E-05  -0.362784E-06   0.381181E-08
  1312   0.703042E+03  -0.535227E+02   0.161472E-05  -0.535227E+02   0.306474E+02  -0.361843E-06   0.161472E-05  -0.361843E-06   0.380603E-08
  1313   0.704033E+03  -0.541602E+02   0.162799E-05  -0.541602E+02   0.305335E+02  -0.360864E-06   0.162799E-05  -0.360864E-06   0.380026E-08
  1314   0.705080E+03  -0.547851E+02   0.164126E-05  -0.547851E+02   0.304162E+02  -0.359848E-06   0.164126E-05  -0.359848E-06   0.379450E-08
  1315   0.706168E+03  -0.553990E+02   0.165450E-05  -0.553990E+02   0.302957E+02  -0.358795E-06   0.165450E-05  -0.358795E-06   0.378875E-08
  1316   0.707312E+03  -0.560004E+02   0.166772E-05  -0.560004E+02   0.301703E+02  -0.357705E-06   0.166772E-05  -0.357705E-06   0.378302E-08
  1317   0.708504E+03  -0.565902E+02   0.168091E-05  -0.565902E+02   0.300432E+02  -0.356580E-06   0.168091E-05  -0.356580E-06   0.377730E-08
  1318   0.709728E+03  -0.571670E+02   0.169407E-05  -0.571670E+02   0.299107E+02  -0.355418E-06   0.169407E-05  -0.355418E-06   0.377159E-08
